E,A,Ci,gsw,intrinsic,inst,Vcmax,Amax,J,LWP,PD,Porosity,Mesophyll_SV/Total_MesophyllV,Mesophyll_PV/Total mesophyllV,Mesophyll_SV/Mesophyll_PV,Leaf_Width_um,Mesophyll_Width_um,SA(Spongy)/SAWMES,SA(Palisade/SAWMES),SA(SPOnGY+Palisade)/SAWMES,Lat,Long,Annual.Mean.Temperature,Mean.Diurnal.Range..Mean.of.monthly..max.temp...min.temp..,Isothermality..BIO2.BIO7.....100.,Temperature.Seasonality..standard.deviation..100.,Max.Temperature.of.Warmest.Month,Min.Temperature.of.Coldest.Month,Temperature.Annual.Range..BIO5.BIO6.,Mean.Temperature.of.Wettest.Quarter,Mean.Temperature.of.Driest.Quarter,Mean.Temperature.of.Warmest.Quarter,Mean.Temperature.of.Coldest.Quarter,Annual.Precipitation,Precipitation.of.Wettest.Month,Precipitation.of.Driest.Month,Precipitation.Seasonality..Coefficient.of.Variation.,Precipitation.of.Wettest.Quarter,Precipitation.of.Driest.Quarter,Precipitation.of.Warmest.Quarter,Precipitation.of.Coldest.Quarter
0.0022442,16.3164118,178.566684,0.12568675,129.8180739,7270.48026,90.73792423,29.22225557,166.35884,-7,-6.7,0.430989287,0.310443205,0.258567507,1.200627289,234.9127687,191.798988,0.310443205,0.258567507,0.569010713,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61
0.0034676,15.4006269,244.186877,0.17462844,88.19082905,4441.292796,180.0243794,21.20527737,236.7960508,-11.5,-6.4,0.474736268,0.262925267,0.262338465,1.002236812,243.2502496,204.4793434,0.262925267,0.262338465,0.525263732,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163
0.00189654,11.2510556,149.397727,0.07677928,146.5376544,5932.411444,196.4097249,20.52606798,237.4436201,-14.3,-6,0.473582731,0.275516738,0.250900531,1.098111421,228.0626435,189.3686127,0.275516738,0.250900531,0.526417269,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128
0.00464389,13.5502366,265.057576,0.18491414,73.27853132,2917.863386,205.2954502,33.14659596,296.6524052,-12,-7.2,0.463423192,0.268656602,0.267920206,1.002748565,238.5534219,198.4427439,0.268656602,0.267920206,0.536576809,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65
0.00479178,18.1942841,191.912743,0.15479221,117.54005,3796.978179,222.9557198,31.08307952,249.1169728,-10.8,-7,0.324519749,0.377706233,0.297774018,1.268432469,181.8525064,147.3004251,0.377706233,0.297774018,0.675480252,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113
0.00082707,6.41834418,166.439236,0.04640228,138.3195865,7760.339729,113.0466906,16.45732913,165.5103991,-13,-6.2,0.327483182,0.355671434,0.316845385,1.122539419,190.5786262,157.144243,0.355671434,0.316845385,0.672516818,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178
0.00675436,16.0277417,288.109618,0.27812052,57.6287636,2372.947504,220.6178844,28.08819076,291.6838817,-14.9,-6.5,0.257619214,0.345898009,0.396482777,0.872416229,170.9581917,140.1000486,0.345898009,0.396482777,0.742380786,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69
0.00725245,16.4392611,284.422788,0.2806373,58.57831835,2266.718295,166.0130739,31.13762131,267.3939921,-12.6,-3,0.339574798,0.347967198,0.312458005,1.113644691,178.8130593,145.5998964,0.347967198,0.312458005,0.660425202,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215
0.00372297,16.3113584,262.057766,0.21188984,76.98037055,4381.275809,143.6209096,25.15399325,172.8488501,-12,-8.5,0.361818416,0.242710997,0.395470587,0.613727052,130.7673395,104.2347884,0.242710997,0.395470587,0.638181584,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254
0.00230532,12.9374507,229.023656,0.13075882,98.94132342,5611.99777,81.44096606,17.97584036,111.2585696,-13.9,-7.4,0.3560042,0.210413499,0.433582302,0.485290793,159.0989279,129.8371348,0.210413499,0.433582302,0.6439958,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61
0.00414101,10.5318554,315.202894,0.23564335,44.69404887,2543.305957,78.27268754,14.74266183,90.23321318,-6,-5.8,0.329876788,0.22221478,0.447908432,0.496116536,139.0345518,112.1467086,0.22221478,0.447908432,0.670123213,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163
0.00387964,15.39080455,275.6315966,0.223627209,68.82348811,3967.069882,105.5020845,23.18463183,136.1567881,-14.8,-11,0.297912251,0.245425925,0.456661824,0.537434732,129.1825242,101.866288,0.245425925,0.456661824,0.702087749,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128
0.00413748,12.7505584,235.246899,0.13999603,91.07799985,3081.720854,134.6315164,35.05601567,223.4154917,-10.7,-6.2,0.425014589,0.34260982,0.232375591,1.47437955,216.1642167,180.3670858,0.34260982,0.232375591,0.574985411,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65
0.00270239,16.3408266,213.4335,0.15346589,106.4785575,6046.805457,184.1847294,33.82702442,235.8806548,-14.6,-8,0.395215362,0.333347241,0.271437397,1.228081482,203.6846528,166.7821774,0.333347241,0.271437397,0.604784638,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113
0.00191751,8.50777545,212.264393,0.07884568,107.904142,4436.887135,162.3781698,21.22618213,204.0924246,-13.5,-8,0.391971731,0.36392726,0.244101009,1.490887981,230.4530138,190.1633463,0.36392726,0.244101009,0.608028269,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178
0.00239368,5.87610589,211.590316,0.05664148,103.7420966,2454.841871,97.96480957,11.99402403,121.8465309,-10,-8,0.419378117,0.32809163,0.252530253,1.299217124,222.0988833,183.1297612,0.32809163,0.252530253,0.580621883,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69
0.001281654,6.029002504,95.65085256,0.03356321,179.631285,4704.078921,103.0147931,11.48731402,166.5871066,-11,-6.6,0.284302284,0.330518122,0.385179594,0.858088351,160.6608916,129.7191319,0.330518122,0.385179594,0.715697716,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215
0.000924987,3.857123926,217.5396324,0.036576713,105.4529959,4169.922591,136.2922918,10.39957907,194.4610569,-10,-6.1,0.307454005,0.333002473,0.359543522,0.926181261,148.2327039,116.4093018,0.333002473,0.359543522,0.692545995,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254
0.00614264,13.4023339,290.9239943,0.240599282,55.70396455,2181.852295,164.5332783,38.18944092,295.0440125,-12.6,-6.2,0.305649206,0.35576616,0.338584634,1.050745143,154.4600018,121.7868323,0.35576616,0.338584634,0.694350794,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61
0.005462713,13.18877582,272.0758594,0.19488673,67.6740578,2414.326865,188.4985845,28.29238198,266.4406916,-11,-7.7,0.342092553,0.396683245,0.261224202,1.518554719,164.0952572,134.3253574,0.396683245,0.261224202,0.657907447,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163
0.003515357,12.84156516,264.1768697,0.170715294,75.22211307,3652.990845,146.3548998,19.66676805,168.3431649,-12,-6.5,0.392811034,0.349484517,0.257704449,1.356144676,175.9980654,146.9568127,0.349484517,0.257704449,0.607188966,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128
0.005437463,10.05713926,248.0477632,0.127105937,79.12407157,1849.601326,204.7606988,21.69102157,288.5208084,-11.4,-3.9,0.348429323,0.363673846,0.287896831,1.263208921,200.876078,167.3608448,0.363673846,0.287896831,0.651570677,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65
0.003554556,13.02701255,283.6076551,0.203022414,64.16539104,3664.877338,224.4367377,21.60460815,285.5060204,-8.5,-6.4,0.405734376,0.326463112,0.267802512,1.219044249,160.5353818,124.7401044,0.326463112,0.267802512,0.594265624,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113
0.001963809,10.42547904,208.9142483,0.093987884,110.9236494,5308.8045,186.1916044,25.15098292,240.9808539,-11.5,-3.9,0.331170974,0.301887592,0.366941435,0.822713281,201.2299456,160.2011058,0.301887592,0.366941435,0.668829026,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178
0.005617427,5.828548328,279.8856408,0.106223573,54.87057302,1037.583357,153.8083998,17.59241644,245.1105211,-12,-5,0.398025361,0.280589298,0.321385341,0.873061904,208.0140254,166.1128719,0.280589298,0.321385341,0.601974639,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69
0.001386942,8.890085094,154.7240741,0.062041703,143.2920878,6409.847196,114.4787501,15.39174238,121.8273725,-10.2,-4.9,0.404123843,0.239062701,0.356813456,0.669993514,182.9091077,144.4918442,0.239062701,0.356813456,0.595876157,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215
0.009698782,10.62833186,289.4031125,0.213820452,49.70680657,1095.841908,150.7784019,26.64647541,263.013392,-7.5,-5.2,0.383602182,0.265081997,0.351315821,0.75454045,222.9132691,176.8832916,0.265081997,0.351315821,0.616397818,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254
0.001605818,11.68081619,178.4912825,0.089200917,130.9495085,7274.060758,118.818483,23.28202432,150.4787342,-13,-6.3,0.32103195,0.326148946,0.352819104,0.924408409,173.8915076,149.1736891,0.326148946,0.352819104,0.67896805,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61
0.001626131,8.860384326,202.1768141,0.077983635,113.6185087,5448.751656,162.2093148,22.36156819,224.5274128,-9.5,-5.8,0.334436053,0.319639044,0.345924904,0.924012814,157.2920247,134.8489134,0.319639044,0.345924904,0.665563947,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163
0.001739797,12.59169118,196.7753043,0.105393211,119.4734566,7237.447897,146.7739252,26.15968938,176.4690622,-8.4,-4.7,0.335101072,0.275513829,0.389385099,0.707561307,179.183691,149.2048644,0.275513829,0.389385099,0.664898928,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128
0.004456376,15.24285977,212.8857616,0.145665261,104.6430675,3420.460683,159.1589779,26.35610534,184.4583943,-12,-6.1,0.333209278,0.28855416,0.378236562,0.762893357,172.5404108,143.5950552,0.28855416,0.378236562,0.666790722,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65
0.005117824,22.35126203,264.2850647,0.298009966,75.00172672,4367.336801,139.2774786,33.67646375,193.7235707,-11.4,-4.8,0.233808814,0.416901721,0.349289465,1.193570844,149.3627436,116.1222481,0.416901721,0.349289465,0.766191186,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113
0.00585805,19.95247719,290.3143259,0.340528805,58.59262688,3405.99279,193.223463,32.5099742,244.5527986,-9.5,-5.4,0.240516701,0.411418619,0.34806468,1.182017717,150.3570192,117.8451455,0.411418619,0.34806468,0.759483299,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178
0.005444018,19.63707496,282.3045951,0.318103857,61.73164677,3607.092318,124.506918,27.41936206,186.5170349,-13.5,-7.2,0.229058335,0.382344752,0.388596914,0.983910931,160.1339571,125.9216164,0.382344752,0.388596914,0.770941666,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69
0.003439394,18.05839574,238.5257923,0.196870248,91.72739858,5250.45877,154.4103247,33.3069018,197.1518877,-5.457,-6.3,0.222092279,0.397415746,0.380491975,1.044478655,151.2083888,117.6968064,0.397415746,0.380491975,0.777907722,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215
0.003554556,13.02701255,283.6076551,0.203022414,64.16539104,3664.877338,224.4367377,21.60460815,285.5060204,-14.6,-6.8,0.361818416,0.242710997,0.395470587,0.613727052,130.7673395,104.2347884,0.242710997,0.395470587,0.638181584,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254