Genotype,Species,Treatment,ID,TotalLeafArea,LeafWetWeight (g),AGDryWeight,Notes
V60-96,vulpina,Control,V60-96.8,,,15.4,
TXNM0821,riparia,Control,TXNM0821.10,,,41.9,Two bags combined
588155.01,palmata,Drought,588155.01.4,,,9.2,
C56-94,rotundifolia var. munsoniana,Drought,C56-94.5,,,24.1,
255189.01,riparia,Control,255189.01.7,,,82.1,
UT12-075,girdiana,Drought,UT12-075.2,,,,
1149,treleasei,Control,1149.10.,,,75.2,
9025,cinerea,Control,9025.8,,,22.5,
b42-34,cinerea,Control,b42-34.6,,,42.1,
2214.4,bloodworthiana,Drought,2214.4.3,,,10.3,
CC12,californica,Control,CC12.9,,,71.4,
V57-96,vulpina,Control,V57-96.10,,,14.7,
NY1,riparia,Drought,NY1.1,,,10.5,
b40-14,arizonica,Control,b40-14.10,,,90.8,
V60-96,vulpina,Drought,V60-96.3,,,7.5,
UT12-075,girdiana,Control,UT12-075.6,,,30.1,
9025,cinerea,Drought,9025.3,,,6,
9031,berlandieri,Drought,9031.5,,,12.9,
b42-24,peninsularis,Drought,b42-24.1,,,37.3,
9018,acerifolia,Control,9018.6,,,26.6,
b42-34,cinerea,Drought,b42-34.2,,,25.2,
OCK1-S02,acerifolia,Control,OCK1-S02.10,,,64.9,
TX6704,monticola,Drought,TX6704.1,,,9.4,
TX6704,monticola,Control,TX6704.6,,,60,
V57-96,vulpina,Drought,V57-96.5,,,6,
2970,popenoi,Control,2970.9,,,30.3,
Hanes2,shuttleworthii,Drought,Haines2.1,,,2.1,
9018,acerifolia,Drought,9018.5,,,10.7,
T52,aestivalis,Drought,T52.3,,,8.6,
Vru42,rupestris,Control,Vru42.10,,,45,
C56-94,rotundifolia var. munsoniana,Control,C56-94.7,,,53.2,
T48,mustangensis,Control,T48.7,,,41.3,
9031,berlandieri,Control,9031.10.,,,29.9,
SC2,girdiana,Drought,SC2.5,,,9.3,
b42-24,peninsularis,Control,b42-24.7,,,45.4,
2970,popenoi,Drought,2970.1,,,6.9,"bag says ""double check"" leaf ID"
T48,mustangensis,Drought,T48.4,,,17.6,
Haines,shuttleworthii,Control,Haines.1,,,26.3,
ANU65,arizonica,Control,ANU65.8,,,54.5,
255189.01,riparia,Drought,255189.01.1,,,12.3,
CC12,californica,Drought,CC12.1,,,19.3,
2214.4,bloodworthiana,Control,2214.4.8,,,35.1,
TXNM0821,riparia,Drought,TXNM0821.4,,,16.1,
9031,berlandieri,Control,9031.11,,,29,
588155.01,palmata,Control,588155.01.8,,,36.7,
T52,aestivalis,Control,T52.7,,,48.4,
1149,treleasei,Drought,1149.5,,,23,
SC2,girdiana,Control,SC2.7,,,30.1,
b40-14,arizonica,Drought,b40-14.1,,,24.9,
OCK1-S02,acerifolia,Drought,OCK1-S02.2,,,21.5,
ANU65,arizonica,Drought,ANU65.2,,,20.5,
Vru42,rupestris,Drought,Vru42.1,,,14.4,
Hanes2,shuttleworthii,Control,Haines2.7,,,67.3,
NY1,riparia,Control,NY1.6,,,32.6,
T52,aestivalis,Control,T52.6,9870.327082,143.8,72.2,
UT12-075,girdiana,Drought,UT12-075.1,839.71,12.1,6.7,
255189.01,riparia,Control,255189.01.9,11577.17087,156.8,87.1,
C56-94,rotundifolia var. munsoniana,Drought,C56-94.3,3344.396835,52.4,27.3,
b40-14,arizonica,Control,b40-14.6,16561.11439,189.2,98.5,bag 1
V60-96,vulpina,Control,V60-96.7,6372.029907,84.2,41.6,
9035,berlandieri,Control,9035.7,4455.560615,73,36.6,
9025,cinerea,Drought,9025.5,1135.85,16.5,8.8,
NY1,riparia,Drought,NY1.5,6346.792707,92.4,55.1,bag 1
Vru42,rupestris,Drought,Vru42.5,1494.83,24.3,13.2,
2214.4,bloodworthiana,Control,2214.4.9,6344.15215,91.8,50.6,
Haines,shuttleworthii,Drought,Haines.7,,,3.1,
b42-24,peninsularis,Control,b42-24.6,9474.720672,146.3,82.4,1455.26 - was in LA for some reason? Maybe misplaced
9018,acerifolia,Control,9018.8,7606.237241,136.8,70.5,
1149,treleasei,Control,1149.8,11677.98094,189.8,97.3,
T48,mustangensis,Drought,T48.2,954.4,20.2,15.6,
Hanes2,shuttleworthii,Drought,Haines2.2,1972.75,30.9,18.6,
TXNM0821,riparia,Drought,TXNM0821.3,1742.87,34.4,16.7,
b42-34,cinerea,Control,b42-34.9,5880.467708,91.9,56.8,
CC12,californica,Control,CC12.8,9635.65283,157,78,
9031,berlandieri,Control,9031.7,4233.101183,67.4,33.9,
588155.01,palmata,Control,588155.01.10,1170.950827,51.2,33.5,
b42-24,peninsularis,Drought,b42-24.3,#DIV/0!,,,
588155.01,palmata,Drought,588155.01.1,2088.55,28.5,18.9,
2214.4,bloodworthiana,Drought,2214.4.4,819.71,11.8,7.1,
TX6704,monticola,Control,TX6704.9,3040.462219,56.1,33.5,
1149,treleasei,Drought,1149.3,2821.73776,46.9,30.6,
TXNM0821,riparia,Control,TXNM0821.7,5499.96894,110.1,52.8,
9018,acerifolia,Drought,9018.3,1318.33,38.1,26.1,
NY1,riparia,Control,NY1.9,#DIV/0!,,,
V57-96,vulpina,Drought,V57-96.2,636.91,8.7,4.8,
V57-96,vulpina,Control,V57-96.6,5436.664968,72,31.8,
V60-96,vulpina,Drought,V60-96.1,156.64,1.9,1.1,
b40-14,arizonica,Drought,b40-14.2,1198.98,14.7,21,lots of broken leaf material
9025,cinerea,Control,9025.10.,6503.337778,81.5,40.5,
C56-94,rotundifolia var. munsoniana,Control,C56-94.6,7158.728889,111.7,53.7,
9031,berlandieri,Drought,9031.4,1134.52,18.3,11.4,
ANU65,arizonica,Drought,ANU65.3,3642.347459,54.7,26.1,
Hanes2,shuttleworthii,Drought,Haines2.10,1081.65,15.7,11.9,
b42-34,cinerea,Drought,b42-34.1,719.19,13,14,
SC2,girdiana,Drought,SC2.9,410.81,6.3,4.2,
Vru42,rupestris,Control,Vru42.6,10496.32272,159.3,72.7,
ANU65,arizonica,Control,ANU65.9,6955.47684,211.2,92.8,
T48,mustangensis,Control,T48.6,5906.512218,119.6,70,
CC12,californica,Drought,CC12.3,2253.18,34.8,20.7,
255189.01,riparia,Drought,255189.01.2,1461.32,19.8,18.3,
Hanes2,shuttleworthii,Control,Haines2.9,9620.758579,131.5,76.8,
OCK1-S02,acerifolia,Control,OCK1-S02.8,14795.42114,181.8,88.4,
TX6704,monticola,Drought,TX6704.3,2090.03,37.6,31.1,
9035,berlandieri,Drought,9035.2,743.02,13.1,8.5,
T52,aestivalis,Drought,T52.1,1019.49,14,9.2,
b40-14,arizonica,Control,b40-14.9,15575.09477,199.6,113.6,
Vru42,rupestris,Control,Vru42.8,8529.627308,130.8,59.6,
ANU65,arizonica,Drought,ANU65.1,2527.965,41.8,23.8,
ANU65,arizonica,Control,ANU65.10,10906.9343,156,74.3,
1149,treleasei,Drought,1149.2,2220.550939,36.3,28.7,
b42-34,cinerea,Control,b42-34.10,5679.824052,96.1,58.8,
9025,cinerea,Control,9025.9,4688.756293,56.4,28.9,
V57-96,vulpina,Drought,V57-96.4,1954.1,27.6,17,
255189.01,riparia,Drought,255189.01.5,1988.63,28.1,20.7,
9018,acerifolia,Drought,9018.4,2353.282516,46.4,26.3,
9035,berlandieri,Control,9035.8,5320.96063,82,40.4,
SC2,girdiana,Drought,SC2.4,1126.71,19.9,14.7,
V37-96,labrusca,Control,V37-96.7,#DIV/0!,,,
CC12,californica,Control,CC12.6,12138.77466,162.1,76.9,
b42-24,peninsularis,Drought,b42-24.5,3773.614706,66,42.3,
2214.4,bloodworthiana,Drought,2214.4.1,2237.679091,22.1,14.9,
Hanes2,shuttleworthii,Drought,Haines2.5,3037.571576,43.3,25.5,
UT12-075,girdiana,Control,UT12-075.8,6586.137832,94.3,38.7,
b40-14,arizonica,Drought,b40-14.3,3763.422765,49.4,33.1,
9018,acerifolia,Control,9018.10.,8130.608302,138.4,69.5,
588155.01,palmata,Control,588155.01.9,5242.114057,70.5,41.1,
V60-96,vulpina,Drought,V60-96.2,271.82,3.3,2.3,
9025,cinerea,Drought,9025.4,951.54,12.6,6.5,
255189.01,riparia,Control,255189.01.8,8111.151311,97.3,60.5,
V37-96,labrusca,Drought,V37-96.5,#DIV/0!,,,
TXNM0821,riparia,Drought,TXNM0821.2,1834.841647,36.9,23,
b42-24,peninsularis,Control,b42-24.10,9015.243656,126.1,79.3,
TX6704,monticola,Drought,TX6704.5,1793.47,30.1,24.7,
NY1,riparia,Control,NY1.8,4642.821206,68.3,42.5,
TXNM0821,riparia,Control,TXNM0821.9,5701.947288,109.9,56.8,
T52,aestivalis,Drought,T52.4,1808.980616,27.7,16.7,
Hanes2,shuttleworthii,Control,Haines2.6,10378.75548,157.3,100.2,
Hanes2,shuttleworthii,Control,Haines2.8,12881.75198,180.6,99.5,
SC2,girdiana,Control,SC2.8,4765.618776,65.7,40.3,
C56-94,rotundifolia var. munsoniana,Drought,C56-94.1,2891.736946,44.9,25.4,
C56-94,rotundifolia var. munsoniana,Control,C56-94.8,6239.610568,93.9,45.8,
V57-96,vulpina,Control,V57-96.8,3741.456324,54.3,30.4,
CC12,californica,Drought,CC12.2,1872.55,28.9,15.6,
T48,mustangensis,Control,T48.8,3016.842794,55.7,25.4,
9031,berlandieri,Drought,9031.2,1598.23,28.4,18.2,
588155.01,palmata,Drought,588155.01.2,1082.71,13.6,8.7,
V60-96,vulpina,Control,V60-96.6,3941.207589,48.8,25.1,
OCK1-S02,acerifolia,Drought,OCK1-S02.1,3463.658053,52.9,29.6,
9031,berlandieri,Control,9031.9,4108.670543,59.1,33.5,
NY1,riparia,Drought,NY1.2,1520.51,22.1,16.4,
2970,popenoi,Control,2970.3,1312.88,18.2,15.1,
2214.4,bloodworthiana,Control,2214.4.6,6944.561512,90.7,53.4,
T52,aestivalis,Control,T52.10,7265.738182,91.2,45.3,
1149,treleasei,Control,1149.7,11429.83323,183.6,105.9,
b42-34,cinerea,Drought,b42-34.5,996.78,17,17.8,
T48,mustangensis,Drought,T48.1,797.84,16,10.7,
Vru42,rupestris,Drought,Vru42.2,1315.46,20.6,12.8,
9035,berlandieri,Drought,9035.1,1090.43,19.2,15.9,
OCK1-S02,acerifolia,Control,OCK1-S02.6,13333.72393,180.7,86.4,
UT12-075,girdiana,Drought,UT12-075.3,135.71,1.4,1.2,
TX6704,monticola,Control,TX6704.8,7799.309781,127.2,71.8,
9025,cinerea,Control,9025.7,5462.924926,74.6,40.2,
C56-94,rotundifolia var. munsoniana,Control,C56-94.10,7856.227448,119.1,62.4,
Haines,shuttleworthii,Control,Haines.8,3621.5214,61.9,39.2,
9018,acerifolia,Control,9018.9,7502.01863,144.3,76.1,
NY1,riparia,Drought,NY1.4,1366.19,20.6,17.1,
C56-94,rotundifolia var. munsoniana,Drought,C56-94.2,#DIV/0!,,18.1,
9031,berlandieri,Drought,9031.1,419.28,6.8,6,
T52,aestivalis,Control,T52.8,9182.839267,120.2,59.8,
Hanes2,shuttleworthii,Control,Haines2.4,9185.286655,131.7,74.7,
TX6704,monticola,Drought,TX6704.2,757.7,12.2,11.1,
9025,cinerea,Drought,9025.1,750.6,10.3,6.9,
SC2,girdiana,Control,SC2.1,3489.051484,53.8,31.6,
Haines,shuttleworthii,Drought,Haines.3,152.28,2.6,3.8,
588155.01,palmata,Control,588155.01.6,5425.403642,66.3,40.9,
2214.4,bloodworthiana,Control,2214.4.7,7454.372749,105.7,65,
TXNM0821,riparia,Control,TXNM0821.5,5713.422256,112.5,52.9,
NY1,riparia,Control,NY1.10,7682.946288,113.8,76.6,
OCK1-S02,acerifolia,Drought,OCK1-S02.3,2715.63473,40.3,23.8,
588155.01,palmata,Drought,588155.01.5,1430.88,18.4,14.3,
1149,treleasei,Drought,1149.1,1257.59,21.3,20.3,
CC12,californica,Drought,CC12.4,1767.69991,29.2,20.3,
UT12-075,girdiana,Drought,UT12-075.5,1313.64,21.1,14,
b40-14,arizonica,Drought,b40-14.5,2702.946494,34.4,23.8,
V37-96,labrusca,Control,V37-96.9,,,,
ANU65,arizonica,Control,ANU65.6,12760.32493,183.3,88.1,
Vru42,rupestris,Drought,Vru42.3,2096.875459,32.4,18.8,
T48,mustangensis,Control,T48.10,4996.110979,89.2,49.5,
V60-96,vulpina,Drought,V60-96.4,#DIV/0!,,10.5,
2970,popenoi,Drought,2970.6,1373.66,20.7,13.5,
UT12-075,girdiana,Control,UT12-075.9,5853.893224,81.8,35.8,
CC12,californica,Control,CC12.7,9546.887732,132,69.8,
9018,acerifolia,Drought,9018.1,1124.29,20.9,13,
V57-96,vulpina,Drought,V57-96.3,443.86,6.2,4.1,
T48,mustangensis,Drought,T48.3,1041.42,22.4,16.7,
1149,treleasei,Control,1149.6,8710.341369,137.8,77.9,
T52,aestivalis,Drought,T52.5,498.04,7.1,7.2,
255189.01,riparia,Drought,255189.01.4,1176.7,15.6,10,
b42-24,peninsularis,Control,b42-24.8,10352.95625,167,91.4,
TXNM0821,riparia,Drought,TXNM0821.1,1193.22,25.3,15.9,
9035,berlandieri,Drought,9035.3,#DIV/0!,,11,
9035,berlandieri,Control,9035.9,5824.334737,95.3,47.4,
b42-34,cinerea,Drought,b42-34.4,#DIV/0!,,15.4,
b42-24,peninsularis,Drought,b42-24.2,2686.21875,48,31.4,
TXNM0821,riparia,Drought,TXNM0821.8,2165.060221,44.5,24.8,
255189.01,riparia,Control,255189.01.6,#DIV/0!,,110.8,
OCK1-S02,acerifolia,Control,OCK1-S02.9,13219.33492,204.4,97.9,
V37-96,labrusca,Drought,V37-96.4,#DIV/0!,,,
b42-34,cinerea,Control,b42-34.7,5261.433604,81.5,51.3,
Vru42,rupestris,Control,Vru42.9,8751.353116,134,53.8,
2214.4,bloodworthiana,Drought,2214.4.2,1048.61,15.1,9.9,
V57-96,vulpina,Control,V57-96.9,2012.78,25.5,11.4,
b40-14,arizonica,Control,b40-14.7,15310.79234,196.5,100.5,
ANU65,arizonica,Drought,ANU65.4,1810.43,29.7,16.3,
9031,berlandieri,Control,9031.6,2778.592627,41.2,20.3,
TX6704,monticola,Control,TX6704.7,9292.593333,145.6,85.9,
V60-96,vulpina,Control,V60-96.9,7065.503614,93.9,46,
9031,berlandieri,Drought,9031.3,,,6,
9035,berlandieri,Control,9035.6,,,32.8,
CC12,californica,Control,CC12.10,,,65.5,
UT12-075,girdiana,Control,UT12-075.7,,,15,
1149,treleasei,Control,1149.9,,,78.5,
C56-94,rotundifolia var. munsoniana,Drought,C56-94.4,,,7.9,
UT12-075,girdiana,Drought,UT12-075.4,,,,
V57-96,vulpina,Drought,V57-96.1,,,3.7,
T52,aestivalis,Control,T52.9,,,45.6,
b42-34,cinerea,Control,b42-34.8,,,23.9,
OCK1-S02,acerifolia,Control,OCK1-S02.7,,,73.7,
TX6704,monticola,Drought,TX6704.4,,,6.4,
TX6704,monticola,Control,TX6704.10,,,42.9,
NY1,riparia,Control,NY1.7,,,65.8,
Hanes2,shuttleworthii,Drought,Haines2.3,,,4.2,
T48,mustangensis,Drought,T48.5,,,6,
1149,treleasei,Drought,1149.4,,,10.5,
V57-96,vulpina,Control,V57-96.7,,,23.7,
9035,berlandieri,Drought,9035.4,,,10.4,
SC2,girdiana,Drought,SC2.2,,,8.2,
Haines,shuttleworthii,Drought,Haines.2,,,1.6,
2970,popenoi,Control,2970.10.,,,6.4,bag says 2970.1 control B5 P23
V60-96,vulpina,Drought,V60-96.5,,,2.4,
SC2,girdiana,Control,SC2.6,,,,
b42-24,peninsularis,Control,b42-24.9,,,96,
9031,berlandieri,Control,9031.8,,,33.8,
255189.01,riparia,Drought,255189.01.3,,,7.1,
b40-14,arizonica,Drought,b40-14.4,,,16,
9025,cinerea,Drought,9025.2,,,8.3,
ANU65,arizonica,Drought,ANU65.5,,,4.2,
2214.4,bloodworthiana,Control,2214.4.10,,,48.2,
9025,cinerea,Control,9025.6,,,4.1,
588155.01,palmata,Drought,588155.01.3,,,7.9,
Vru42,rupestris,Drought,Vru42.4,,,9.8,
9018,acerifolia,Control,9018.7,,,64.9,
OCK1-S02,acerifolia,Drought,OCK1-S02.5,,,8.9,
T52,aestivalis,Drought,T52.2,,,5.4,
Haines,shuttleworthii,Control,Haines.6,,,13.7,
255189.01,riparia,Control,255189.01.10,,,70.1,
CC12,californica,Drought,CC12.5,,,9.7,
b42-34,cinerea,Drought,b42-34.3,,,11.2,
Vru42,rupestris,Control,Vru42.7,,,69.2,
TXNM0821,riparia,Control,TXNM0821.6,,,45.9,
NY1,riparia,Drought,NY1.3,,,4.5,
b40-14,arizonica,Control,b40-14.8,,,51.7,
b40-14,arizonica,Control,b40-14.8,,,58.5,bag 2
9018,acerifolia,Drought,9018.2,,,5.3,
ANU65,arizonica,Control,ANU65.7,,,87.1,
V60-96,vulpina,Control,V60-96.10,,,33.2,
T48,mustangensis,Control,T48.9,,,43.1,
C56-94,rotundifolia var. munsoniana,Control,C56-94.9,,,52.9,
2214.4,bloodworthiana,Drought,2214.4.5,,,5.8,
2970,popenoi,Drought,2970.4,,,3.9,
588155.01,palmata,Control,588155.01.7,,,43.1,
b42-24,peninsularis,Drought,b42-24.4,,,15.2,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,