"","Code_Date","ID","Date","Treatment","species_geno","Genotype","gsw_porometer"
"1","9018.1_10.27","9018.1","10/26-27","Drought","9018","9018",0.532176666666667
"2","9018.1_11.06","9018.1","11/06","Drought","9018","9018",0.1711625
"3","9018.1_11.11","9018.1","11/11","Drought","9018","9018",0.1908995
"4","9018.1_11.17","9018.1","11/16-17","Drought","9018","9018",0.0847655
"5","9018.1_11.20","9018.1","11/02-03","Drought","9018","9018",0.0160705
"6","9018.1_11.24","9018.1","11/23-24","Drought","9018","9018",0.1704195
"7","9018.1_11.30","9018.1","11/02-03","Drought","9018","9018",0.0055285
"8","9018.1_12.02","9018.1","12/02","Drought","9018","9018",0.014831
"9","9018.10_10.27","9018.10.","10/26-27","Control","9018","9018",0.548548
"10","9018.10_11.06","9018.10.","11/06","Control","9018","9018",0.4035655
"11","9018.10_11.11","9018.10.","11/11","Control","9018","9018",0.2384575
"12","9018.10_11.16","9018.10.","11/16-17","Control","9018","9018",0.418025
"13","9018.10_11.23","9018.10.","11/23-24","Control","9018","9018",0.157207
"14","9018.10_11.30","9018.10.","11/02-03","Control","9018","9018",0.195755
"15","9018.2_10.27","9018.2","10/26-27","Drought","9018","9018",0.150656
"16","9018.2_11.06","9018.2","11/06","Drought","9018","9018",0.0375545
"17","9018.2_11.11","9018.2","11/11","Drought","9018","9018",0.032369
"18","9018.2_11.17","9018.2","11/16-17","Drought","9018","9018",0.0350055
"19","9018.2_11.24","9018.2","11/23-24","Drought","9018","9018",0.030693
"20","9018.2_11.30","9018.2","11/02-03","Drought","9018","9018",0.015929
"21","9018.2_12.02","9018.2","12/02","Drought","9018","9018",0.0112385
"22","9018.3_10.26","9018.3","10/26-27","Drought","9018","9018",0.314804333333333
"23","9018.3_11.06","9018.3","11/06","Drought","9018","9018",0.093437
"24","9018.3_11.11","9018.3","11/11","Drought","9018","9018",0.1105105
"25","9018.3_11.16","9018.3","11/16-17","Drought","9018","9018",0.025651
"26","9018.3_11.20","9018.3","11/02-03","Drought","9018","9018",0.039017
"27","9018.3_11.23","9018.3","11/23-24","Drought","9018","9018",0.078814
"28","9018.3_11.30","9018.3","11/02-03","Drought","9018","9018",0.005101
"29","9018.4_10.27","9018.4","10/26-27","Drought","9018","9018",0.228753
"30","9018.4_11.06","9018.4","11/06","Drought","9018","9018",0.113349
"31","9018.4_11.11","9018.4","11/11","Drought","9018","9018",0.058564
"32","9018.4_11.16","9018.4","11/16-17","Drought","9018","9018",0.014828
"33","9018.4_11.20","9018.4","11/02-03","Drought","9018","9018",0.0110305
"34","9018.4_11.23","9018.4","11/23-24","Drought","9018","9018",0.008478
"35","9018.4_11.30","9018.4","11/02-03","Drought","9018","9018",0.002391
"36","9018.5_10.26","9018.5","10/26-27","Drought","9018","9018",0.2285335
"37","9018.5_11.06","9018.5","11/06","Drought","9018","9018",0.1477795
"38","9018.5_11.11","9018.5","11/11","Drought","9018","9018",0.1432045
"39","9018.5_11.16","9018.5","11/16-17","Drought","9018","9018",0.069312
"40","9018.5_11.20","9018.5","11/02-03","Drought","9018","9018",0.0076015
"41","9018.5_11.23","9018.5","11/23-24","Drought","9018","9018",0.0822275
"42","9018.5_11.30","9018.5","11/02-03","Drought","9018","9018",0.023951
"43","9018.6_10.26","9018.6","10/26-27","Control","9018","9018",0.529488
"44","9018.6_11.06","9018.6","11/06","Control","9018","9018",0.3988215
"45","9018.6_11.11","9018.6","11/11","Control","9018","9018",0.332565
"46","9018.6_11.16","9018.6","11/16-17","Control","9018","9018",0.5238005
"47","9018.6_11.20","9018.6","11/02-03","Control","9018","9018",0.090684
"48","9018.6_11.23","9018.6","11/23-24","Control","9018","9018",0.2662665
"49","9018.6_11.30","9018.6","11/02-03","Control","9018","9018",0.4980945
"50","9018.7_10.27","9018.7","10/26-27","Control","9018","9018",0.0794293333333333
"51","9018.7_11.06","9018.7","11/06","Control","9018","9018",0.082426
"52","9018.7_11.11","9018.7","11/11","Control","9018","9018",0.1080455
"53","9018.7_11.17","9018.7","11/16-17","Control","9018","9018",0.3692785
"54","9018.7_11.24","9018.7","11/23-24","Control","9018","9018",0.1133955
"55","9018.7_11.30","9018.7","11/02-03","Control","9018","9018",0.1328735
"56","9018.7_12.02","9018.7","12/02","Control","9018","9018",0.15836075
"57","9018.8_10.26","9018.8","10/26-27","Control","9018","9018",0.355719
"58","9018.8_11.06","9018.8","11/06","Control","9018","9018",0.4713685
"59","9018.8_11.11","9018.8","11/11","Control","9018","9018",0.138084
"60","9018.8_11.16","9018.8","11/16-17","Control","9018","9018",0.3979885
"61","9018.8_11.20","9018.8","11/02-03","Control","9018","9018",0.6589525
"62","9018.8_11.23","9018.8","11/23-24","Control","9018","9018",0.567737
"63","9018.8_11.30","9018.8","11/02-03","Control","9018","9018",0.082911
"64","9018.9_10.27","9018.9","10/26-27","Control","9018","9018",0.656282666666667
"65","9018.9_11.06","9018.9","11/06","Control","9018","9018",0.4260975
"66","9018.9_11.11","9018.9","11/11","Control","9018","9018",0.347312
"67","9018.9_11.20","9018.9","11/02-03","Control","9018","9018",0.163362
"68","9018.9_11.24","9018.9","11/23-24","Control","9018","9018",0.1951615
"69","9018.9_11.30","9018.9","11/02-03","Control","9018","9018",0.304307
"70","9018.9_12.02","9018.9","12/02","Control","9018","9018",0.312426
"71","9031.1_10.27","9031.1","10/26-27","Drought","9031","9031",0.180759666666667
"72","9031.1_11.06","9031.1","11/06","Drought","9031","9031",0.2372265
"73","9031.1_11.11","9031.1","11/11","Drought","9031","9031",0.10364
"74","9031.1_11.24","9031.1","11/23-24","Drought","9031","9031",0.041856
"75","9031.1_11.30","9031.1","11/02-03","Drought","9031","9031",0.026088
"76","9031.1_12.02","9031.1","12/02","Drought","9031","9031",0.0200096666666667
"77","9031.10_10.26","9031.10.","10/26-27","Control","9031","9031",0.258026333333333
"78","9031.10_11.06","9031.10.","11/06","Control","9031","9031",0.280507
"79","9031.10_11.11","9031.10.","11/11","Control","9031","9031",0.186418
"80","9031.10_11.16","9031.10.","11/16-17","Control","9031","9031",0.505125
"81","9031.10_11.20","9031.10.","11/02-03","Control","9031","9031",0.315137
"82","9031.10_11.23","9031.10.","11/23-24","Control","9031","9031",0.132189
"83","9031.10_11.30","9031.10.","11/02-03","Control","9031","9031",0.401034
"84","9031.11_10.26","9031.11","10/26-27","Control","9031","9031",0.231329666666667
"85","9031.11_11.06","9031.11","11/06","Control","9031","9031",0.1383845
"86","9031.11_11.11","9031.11","11/11","Control","9031","9031",0.0946115
"87","9031.11_11.16","9031.11","11/16-17","Control","9031","9031",0.197565
"88","9031.11_11.20","9031.11","11/02-03","Control","9031","9031",0.1005315
"89","9031.11_11.23","9031.11","11/23-24","Control","9031","9031",0.200521
"90","9031.11_11.30","9031.11","11/02-03","Control","9031","9031",0.378153
"91","9031.2_10.27","9031.2","10/26-27","Drought","9031","9031",0.454940333333333
"92","9031.2_11.06","9031.2","11/06","Drought","9031","9031",0.1289925
"93","9031.2_11.11","9031.2","11/11","Drought","9031","9031",0.0902723333333333
"94","9031.2_11.23","9031.2","11/23-24","Drought","9031","9031",0.028055
"95","9031.2_11.30","9031.2","11/02-03","Drought","9031","9031",0.0110195
"96","9031.2_12.02","9031.2","12/02","Drought","9031","9031",0.019408
"97","9031.3_10.27","9031.3","10/26-27","Drought","9031","9031",0.346955666666667
"98","9031.3_11.06","9031.3","11/06","Drought","9031","9031",0.1047585
"99","9031.3_11.11","9031.3","11/11","Drought","9031","9031",0.1056605
"100","9031.3_11.17","9031.3","11/16-17","Drought","9031","9031",0.0194785
"101","9031.3_11.24","9031.3","11/23-24","Drought","9031","9031",0.025173
"102","9031.3_11.30","9031.3","11/02-03","Drought","9031","9031",0.0314195
"103","9031.3_12.02","9031.3","12/02","Drought","9031","9031",0.0132295
"104","9031.4_10.26","9031.4","10/26-27","Drought","9031","9031",0.225244333333333
"105","9031.4_11.06","9031.4","11/06","Drought","9031","9031",0.2363515
"106","9031.4_11.11","9031.4","11/11","Drought","9031","9031",0.1378505
"107","9031.4_11.16","9031.4","11/16-17","Drought","9031","9031",0.0928135
"108","9031.4_11.23","9031.4","11/23-24","Drought","9031","9031",0.0535285
"109","9031.4_11.30","9031.4","11/02-03","Drought","9031","9031",0.0372445
"110","9031.5_10.26","9031.5","10/26-27","Drought","9031","9031",0.399624333333333
"111","9031.5_11.06","9031.5","11/06","Drought","9031","9031",0.3289395
"112","9031.5_11.11","9031.5","11/11","Drought","9031","9031",0.1349295
"113","9031.5_11.16","9031.5","11/16-17","Drought","9031","9031",0.022512
"114","9031.5_11.20","9031.5","11/02-03","Drought","9031","9031",0.02048
"115","9031.5_11.23","9031.5","11/23-24","Drought","9031","9031",0.0539705
"116","9031.5_11.30","9031.5","11/02-03","Drought","9031","9031",0.023203
"117","9031.6_10.27","9031.6","10/26-27","Control","9031","9031",0.120471666666667
"118","9031.6_11.06","9031.6","11/06","Control","9031","9031",0.1995695
"119","9031.6_11.11","9031.6","11/11","Control","9031","9031",0.161262
"120","9031.6_11.17","9031.6","11/16-17","Control","9031","9031",0.312732
"121","9031.6_11.24","9031.6","11/23-24","Control","9031","9031",0.1943415
"122","9031.6_11.30","9031.6","11/02-03","Control","9031","9031",0.1724325
"123","9031.6_12.02","9031.6","12/02","Control","9031","9031",0.110992666666667
"124","9031.7_10.26","9031.7","10/26-27","Control","9031","9031",0.310544333333333
"125","9031.7_11.06","9031.7","11/06","Control","9031","9031",0.281658
"126","9031.7_11.11","9031.7","11/11","Control","9031","9031",0.148967
"127","9031.7_11.16","9031.7","11/16-17","Control","9031","9031",0.5169795
"128","9031.7_11.23","9031.7","11/23-24","Control","9031","9031",0.256329
"129","9031.7_11.30","9031.7","11/02-03","Control","9031","9031",0.330149
"130","9031.8_10.27","9031.8","10/26-27","Control","9031","9031",0.130678333333333
"131","9031.8_11.06","9031.8","11/06","Control","9031","9031",0.2280275
"132","9031.8_11.11","9031.8","11/11","Control","9031","9031",0.1837205
"133","9031.8_11.17","9031.8","11/16-17","Control","9031","9031",0.3344665
"134","9031.8_11.24","9031.8","11/23-24","Control","9031","9031",0.320166
"135","9031.8_11.30","9031.8","11/02-03","Control","9031","9031",0.417288
"136","9031.8_12.02","9031.8","12/02","Control","9031","9031",0.292182333333333
"137","9031.9_10.27","9031.9","10/26-27","Control","9031","9031",0.224632
"138","9031.9_11.06","9031.9","11/06","Control","9031","9031",0.4397865
"139","9031.9_11.11","9031.9","11/11","Control","9031","9031",0.196853
"140","9031.9_11.23","9031.9","11/23-24","Control","9031","9031",0.1977195
"141","9031.9_11.30","9031.9","11/02-03","Control","9031","9031",0.2454095
"142","9031.9_12.02","9031.9","12/02","Control","9031","9031",0.287208666666667
"143","9035.1_10.27","9035.1","10/26-27","Drought","9035","9035",0.143348333333333
"144","9035.1_11.06","9035.1","11/06","Drought","9035","9035",0.045816
"145","9035.1_11.11","9035.1","11/11","Drought","9035","9035",0.083319
"146","9035.1_11.23","9035.1","11/23-24","Drought","9035","9035",0.017897
"147","9035.1_11.30","9035.1","11/02-03","Drought","9035","9035",0.0101405
"148","9035.1_12.02","9035.1","12/02","Drought","9035","9035",0.0143775
"149","9035.2_10.26","9035.2","10/26-27","Drought","9035","9035",0.0999025
"150","9035.2_11.06","9035.2","11/06","Drought","9035","9035",0.0428205
"151","9035.2_11.11","9035.2","11/11","Drought","9035","9035",0.043527
"152","9035.2_11.16","9035.2","11/16-17","Drought","9035","9035",0.035047
"153","9035.2_11.23","9035.2","11/23-24","Drought","9035","9035",0.0131995
"154","9035.2_11.30","9035.2","11/02-03","Drought","9035","9035",0.0341615
"155","9035.3_10.27","9035.3","10/26-27","Drought","9035","9035",0.257140333333333
"156","9035.3_11.06","9035.3","11/06","Drought","9035","9035",0.044927
"157","9035.3_11.11","9035.3","11/11","Drought","9035","9035",0.0694125
"158","9035.3_11.17","9035.3","11/16-17","Drought","9035","9035",0.0467765
"159","9035.3_11.24","9035.3","11/23-24","Drought","9035","9035",0.05478
"160","9035.3_11.30","9035.3","11/02-03","Drought","9035","9035",0.002743
"161","9035.3_12.02","9035.3","12/02","Drought","9035","9035",0.0254845
"162","9035.4_10.27","9035.4","10/26-27","Drought","9035","9035",0.068648
"163","9035.4_11.06","9035.4","11/06","Drought","9035","9035",0.0312065
"164","9035.4_11.11","9035.4","11/11","Drought","9035","9035",0.121167
"165","9035.4_11.17","9035.4","11/16-17","Drought","9035","9035",0.018556
"166","9035.4_11.24","9035.4","11/23-24","Drought","9035","9035",0.017491
"167","9035.4_11.30","9035.4","11/02-03","Drought","9035","9035",0.014386
"168","9035.4_12.02","9035.4","12/02","Drought","9035","9035",0.00418533333333333
"169","9035.6_10.27","9035.6","10/26-27","Control","9035","9035",0.198688333333333
"170","9035.6_11.06","9035.6","11/06","Control","9035","9035",0.1206675
"171","9035.6_11.11","9035.6","11/11","Control","9035","9035",0.1523665
"172","9035.6_11.17","9035.6","11/16-17","Control","9035","9035",0.3022855
"173","9035.6_11.24","9035.6","11/23-24","Control","9035","9035",0.1783555
"174","9035.6_11.30","9035.6","11/02-03","Control","9035","9035",0.0910435
"175","9035.6_12.02","9035.6","12/02","Control","9035","9035",0.162963666666667
"176","9035.7_10.26","9035.7","10/26-27","Control","9035","9035",0.294555333333333
"177","9035.7_11.06","9035.7","11/06","Control","9035","9035",0.3734615
"178","9035.7_11.11","9035.7","11/11","Control","9035","9035",0.074332
"179","9035.7_11.16","9035.7","11/16-17","Control","9035","9035",0.4921755
"180","9035.7_11.23","9035.7","11/23-24","Control","9035","9035",0.480917
"181","9035.7_11.30","9035.7","11/02-03","Control","9035","9035",0.776997
"182","9035.8_10.27","9035.8","10/26-27","Control","9035","9035",0.309987
"183","9035.8_11.06","9035.8","11/06","Control","9035","9035",0.554567
"184","9035.8_11.11","9035.8","11/11","Control","9035","9035",0.1150455
"185","9035.8_11.16","9035.8","11/16-17","Control","9035","9035",0.785909
"186","9035.8_11.23","9035.8","11/23-24","Control","9035","9035",0.0594735
"187","9035.8_11.30","9035.8","11/02-03","Control","9035","9035",0.105004
"188","9035.9_10.27","9035.9","10/26-27","Control","9035","9035",0.112513333333333
"189","9035.9_11.06","9035.9","11/06","Control","9035","9035",0.156299
"190","9035.9_11.11","9035.9","11/11","Control","9035","9035",0.1836175
"191","9035.9_11.17","9035.9","11/16-17","Control","9035","9035",0.478101
"192","9035.9_11.24","9035.9","11/23-24","Control","9035","9035",0.132593
"193","9035.9_11.30","9035.9","11/02-03","Control","9035","9035",0.0758815
"194","9035.9_12.02","9035.9","12/02","Control","9035","9035",0.161884666666667
"195","b40-14.1_10.26","b40-14.1","10/26-27","Drought","b40-14","b40-14",0.14464375
"196","b40-14.1_11.06","b40-14.1","11/06","Drought","b40-14","b40-14",0.061942
"197","b40-14.1_11.11","b40-14.1","11/11","Drought","b40-14","b40-14",0.0192495
"198","b40-14.1_11.16","b40-14.1","11/16-17","Drought","b40-14","b40-14",0.0021915
"199","b40-14.1_11.20","b40-14.1","11/02-03","Drought","b40-14","b40-14",0.002914
"200","b40-14.1_11.23","b40-14.1","11/23-24","Drought","b40-14","b40-14",0.0302995
"201","b40-14.1_11.30","b40-14.1","11/02-03","Drought","b40-14","b40-14",0.007472
"202","b40-14.10_10.26","b40-14.10.","10/26-27","Control","b40-14","b40-14",0.1613275
"203","b40-14.10_11.06","b40-14.10.","11/06","Control","b40-14","b40-14",0.0884885
"204","b40-14.10_11.11","b40-14.10.","11/11","Control","b40-14","b40-14",0.0205075
"205","b40-14.10_11.16","b40-14.10.","11/16-17","Control","b40-14","b40-14",0.0585985
"206","b40-14.10_11.20","b40-14.10.","11/02-03","Control","b40-14","b40-14",0.019414
"207","b40-14.10_11.23","b40-14.10.","11/23-24","Control","b40-14","b40-14",0.042673
"208","b40-14.10_11.30","b40-14.10.","11/02-03","Control","b40-14","b40-14",0.026494
"209","b40-14.2_10.26","b40-14.2","10/26-27","Drought","b40-14","b40-14",0.159560333333333
"210","b40-14.2_11.06","b40-14.2","11/06","Drought","b40-14","b40-14",0.016829
"211","b40-14.2_11.11","b40-14.2","11/11","Drought","b40-14","b40-14",0.0202155
"212","b40-14.2_11.16","b40-14.2","11/16-17","Drought","b40-14","b40-14",0.0101805
"213","b40-14.2_11.23","b40-14.2","11/23-24","Drought","b40-14","b40-14",0.0135875
"214","b40-14.2_11.30","b40-14.2","11/02-03","Drought","b40-14","b40-14",0.002456
"215","b40-14.3_10.27","b40-14.3","10/26-27","Drought","b40-14","b40-14",0.175523
"216","b40-14.3_11.06","b40-14.3","11/06","Drought","b40-14","b40-14",0.060925
"217","b40-14.3_11.11","b40-14.3","11/11","Drought","b40-14","b40-14",0.045048
"218","b40-14.3_11.16","b40-14.3","11/16-17","Drought","b40-14","b40-14",0.004295
"219","b40-14.3_11.20","b40-14.3","11/02-03","Drought","b40-14","b40-14",0.002172
"220","b40-14.3_11.23","b40-14.3","11/23-24","Drought","b40-14","b40-14",0.0011485
"221","b40-14.3_11.30","b40-14.3","11/02-03","Drought","b40-14","b40-14",0.005028
"222","b40-14.4_10.27","b40-14.4","10/26-27","Drought","b40-14","b40-14",0.0671643333333333
"223","b40-14.4_11.06","b40-14.4","11/06","Drought","b40-14","b40-14",0.0256475
"224","b40-14.4_11.11","b40-14.4","11/11","Drought","b40-14","b40-14",0.016782
"225","b40-14.4_11.30","b40-14.4","11/02-03","Drought","b40-14","b40-14",0.001197
"226","b40-14.5_10.27","b40-14.5","10/26-27","Drought","b40-14","b40-14",0.134179
"227","b40-14.5_11.06","b40-14.5","11/06","Drought","b40-14","b40-14",0.107425
"228","b40-14.5_11.11","b40-14.5","11/11","Drought","b40-14","b40-14",0.0250585
"229","b40-14.5_12.02","b40-14.5","12/02","Drought","b40-14","b40-14",0.0057745
"230","b40-14.6_10.26","b40-14.6","10/26-27","Control","b40-14","b40-14",0.212811666666667
"231","b40-14.6_11.06","b40-14.6","11/06","Control","b40-14","b40-14",0.113174
"232","b40-14.6_11.11","b40-14.6","11/11","Control","b40-14","b40-14",0.0406625
"233","b40-14.6_11.16","b40-14.6","11/16-17","Control","b40-14","b40-14",0.187161
"234","b40-14.6_11.20","b40-14.6","11/02-03","Control","b40-14","b40-14",0.0230165
"235","b40-14.6_11.23","b40-14.6","11/23-24","Control","b40-14","b40-14",0.15483
"236","b40-14.6_11.30","b40-14.6","11/02-03","Control","b40-14","b40-14",0.0778095
"237","b40-14.7_10.27","b40-14.7","10/26-27","Control","b40-14","b40-14",0.0987993333333333
"238","b40-14.7_11.06","b40-14.7","11/06","Control","b40-14","b40-14",0.073994
"239","b40-14.7_11.11","b40-14.7","11/11","Control","b40-14","b40-14",0.0754565
"240","b40-14.7_11.17","b40-14.7","11/16-17","Control","b40-14","b40-14",0.020747
"241","b40-14.7_11.20","b40-14.7","11/02-03","Control","b40-14","b40-14",0.056136
"242","b40-14.7_11.24","b40-14.7","11/23-24","Control","b40-14","b40-14",0.0389465
"243","b40-14.7_11.30","b40-14.7","11/02-03","Control","b40-14","b40-14",0.031232
"244","b40-14.7_12.02","b40-14.7","12/02","Control","b40-14","b40-14",0.127228
"245","b40-14.8_10.27","b40-14.8","10/26-27","Control","b40-14","b40-14",0.0745073333333333
"246","b40-14.8_11.06","b40-14.8","11/06","Control","b40-14","b40-14",0.097863
"247","b40-14.8_11.11","b40-14.8","11/11","Control","b40-14","b40-14",0.1519355
"248","b40-14.8_11.17","b40-14.8","11/16-17","Control","b40-14","b40-14",0.047984
"249","b40-14.8_11.24","b40-14.8","11/23-24","Control","b40-14","b40-14",0.035836
"250","b40-14.8_11.30","b40-14.8","11/02-03","Control","b40-14","b40-14",0.025459
"251","b40-14.8_12.02","b40-14.8","12/02","Control","b40-14","b40-14",0.0846183333333333
"252","b40-14.9_10.27","b40-14.9","10/26-27","Control","b40-14","b40-14",0.0962476666666667
"253","b40-14.9_11.06","b40-14.9","11/06","Control","b40-14","b40-14",0.091688
"254","b40-14.9_11.11","b40-14.9","11/11","Control","b40-14","b40-14",0.068966
"255","b40-14.9_11.16","b40-14.9","11/16-17","Control","b40-14","b40-14",0.084854
"256","b40-14.9_11.20","b40-14.9","11/02-03","Control","b40-14","b40-14",0.117728
"257","b40-14.9_11.23","b40-14.9","11/23-24","Control","b40-14","b40-14",0.0288075
"258","b40-14.9_11.30","b40-14.9","11/02-03","Control","b40-14","b40-14",0.019037
"259","b42-34.1_10.26","b42-34.1","10/26-27","Drought","b42-34","b42-34",0.158005333333333
"260","b42-34.1_11.06","b42-34.1","11/06","Drought","b42-34","b42-34",0.0792625
"261","b42-34.1_11.11","b42-34.1","11/11","Drought","b42-34","b42-34",0.0826485
"262","b42-34.1_11.16","b42-34.1","11/16-17","Drought","b42-34","b42-34",0.0304745
"263","b42-34.1_11.20","b42-34.1","11/02-03","Drought","b42-34","b42-34",0.058361
"264","b42-34.1_11.23","b42-34.1","11/23-24","Drought","b42-34","b42-34",0.04856325
"265","b42-34.1_11.30","b42-34.1","11/02-03","Drought","b42-34","b42-34",0.028932
"266","b42-34.10_10.27","b42-34.10.","10/26-27","Control","b42-34","b42-34",0.213464666666667
"267","b42-34.10_11.06","b42-34.10.","11/06","Control","b42-34","b42-34",0.170929
"268","b42-34.10_11.11","b42-34.10.","11/11","Control","b42-34","b42-34",0.1873175
"269","b42-34.10_11.16","b42-34.10.","11/16-17","Control","b42-34","b42-34",0.393246
"270","b42-34.10_11.20","b42-34.10.","11/02-03","Control","b42-34","b42-34",0.0555815
"271","b42-34.10_11.23","b42-34.10.","11/23-24","Control","b42-34","b42-34",0.0701505
"272","b42-34.10_11.30","b42-34.10.","11/02-03","Control","b42-34","b42-34",0.079685
"273","b42-34.2_10.26","b42-34.2","10/26-27","Drought","b42-34","b42-34",0.249639
"274","b42-34.2_11.06","b42-34.2","11/06","Drought","b42-34","b42-34",0.1585065
"275","b42-34.2_11.11","b42-34.2","11/11","Drought","b42-34","b42-34",0.1239235
"276","b42-34.2_11.16","b42-34.2","11/16-17","Drought","b42-34","b42-34",0.0093265
"277","b42-34.2_11.20","b42-34.2","11/02-03","Drought","b42-34","b42-34",0.030824
"278","b42-34.2_11.23","b42-34.2","11/23-24","Drought","b42-34","b42-34",0.0480875
"279","b42-34.2_11.30","b42-34.2","11/02-03","Drought","b42-34","b42-34",0.0103695
"280","b42-34.3_10.27","b42-34.3","10/26-27","Drought","b42-34","b42-34",0.211985
"281","b42-34.3_11.06","b42-34.3","11/06","Drought","b42-34","b42-34",0.0480085
"282","b42-34.3_11.11","b42-34.3","11/11","Drought","b42-34","b42-34",0.046103
"283","b42-34.3_11.17","b42-34.3","11/16-17","Drought","b42-34","b42-34",0.0411815
"284","b42-34.3_11.24","b42-34.3","11/23-24","Drought","b42-34","b42-34",0.014739
