"","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"1","9018.5","9018","Drought",11.9,"10,000",NA,NA,13.865,NA,NA,"9018"
"2","9018.6","9018","Control",11.9,"6,900",NA,NA,17.65638889,NA,NA,"9018"
"3","b40-14.1","b40-14","Drought",11.9,"10,100",NA,NA,10.625,NA,NA,"b40-14"
"4","b40-14.10","b40-14","Control",11.9,"8,600",NA,NA,15.54694444,NA,NA,"b40-14"
"5","b42-34.2","b42-34","Drought",11.9,"8,000",NA,NA,14.11083333,NA,NA,"b42-34"
"6","b42-34.6","b42-34","Control",11.9,"8,900",NA,NA,12.33722222,NA,NA,"b42-34"
"7","NY1.1","NY1","Drought",11.9,"9,100",NA,NA,14.5675,NA,NA,"NY1"
"8","NY1.6","NY1","Control",11.9,"7,400",NA,NA,16.89472222,NA,NA,"NY1"
"9","T48.4","T48","Drought",11.9,"9,000",NA,NA,26.12222222,NA,NA,"T48"
"10","T48.7","T48","Control",11.9,"11,000",NA,NA,22.195,NA,NA,"T48"
"11","T52.3","T52","Drought",11.9,"10,500",NA,NA,16.80305556,NA,NA,"T52"
"12","T52.7","T52","Control",11.9,"9,600",NA,NA,19.12694444,NA,NA,"T52"
"13","TXNM0821.10","TXNM0821","Control",11.9,"10,400",NA,NA,22.07805556,NA,NA,"TXNM0821"
"14","TXNM0821.4","TXNM0821","Drought",11.9,"8,600",NA,NA,28.69305556,NA,NA,"TXNM0821"
"15","V60-96.3","V60-96","Drought",11.9,"8,100",NA,NA,22.3175,NA,NA,"V60-96"
"16","Vru42.1","Vru42","Drought",11.9,"9,200",NA,NA,13.06861111,NA,NA,"Vru42"
"17","Vru42.10","Vru42","Control",11.9,"11,000",NA,NA,11.25055556,NA,NA,"Vru42"
"18","9018.3","9018","Drought",11.1,"10,200",NA,NA,62.49277778,NA,NA,"9018"
"19","9018.8","9018","Control",11.1,"10,900",NA,NA,33.30666667,NA,NA,"9018"
"20","b40-14.2","b40-14","Drought",11.1,"11,900",NA,NA,46.63,NA,NA,"b40-14"
"21","b40-14.6","b40-14","Control",11.1,"10,800",NA,NA,52.86722222,NA,NA,"b40-14"
"22","b42-34.1","b42-34","Drought",11.1,"9,500",NA,NA,38.07166667,NA,NA,"b42-34"
"23","b42-34.9","b42-34","Control",11.1,"14,400",NA,NA,36.50555556,NA,NA,"b42-34"
"24","NY1.5","NY1","Drought",11.1,"11,700",NA,NA,36.89694444,NA,NA,"NY1"
"25","NY1.9","NY1","Control",11.1,"10,400",NA,NA,54.46138889,NA,NA,"NY1"
"26","T48.2","T48","Drought",11.1,"9,700",NA,NA,68.03972222,NA,NA,"T48"
"27","T48.6","T48","Control",11.1,"10,200",NA,NA,81.09805556,NA,NA,"T48"
"28","T52.1","T52","Drought",11.1,"8,400",NA,NA,59.03555556,NA,NA,"T52"
"29","T52.6","T52","Control",11.1,"12,000",NA,NA,47.10444444,NA,NA,"T52"
"30","TXNM0821.3","TXNM0821","Drought",11.1,"9,100",NA,NA,53.83472222,NA,NA,"TXNM0821"
"31","TXNM0821.7","TXNM0821","Control",11.1,"10,400",NA,NA,64.2225,NA,NA,"TXNM0821"
"32","Vru42.6","Vru42","Control",11.1,"12,300",NA,NA,NA,NA,NA,"Vru42"
"33","9018.10","9018","Control",11.1,"11,600",NA,NA,55.03861111,NA,NA,"9018"
"34","9018.4","9018","Drought",11.1,"13,600",NA,NA,51.08444444,NA,NA,"9018"
"35","b40-14.3","b40-14","Drought",11.1,"13,400",NA,NA,37.44277778,NA,NA,"b40-14"
"36","b40-14.9","b40-14","Control",11.1,"12,900",NA,NA,NA,NA,NA,"b40-14"
"37","b42-34.10","b42-34","Control",11.1,"12,100",NA,NA,8.789722222,NA,NA,"b42-34"
"38","b42-34.5","b42-34","Drought",11.1,"11,500",NA,NA,52.17583333,NA,NA,"b42-34"
"39","NY1.2","NY1","Drought",11.1,"12,000",NA,NA,52.78055556,NA,NA,"NY1"
"40","NY1.8","NY1","Control",11.1,"12,200",NA,NA,66.74083333,NA,NA,"NY1"
"41","T48.1","T48","Drought",11.1,"10,700",NA,NA,45.37138889,NA,NA,"T48"
"42","T52.10","T52","Control",11.1,"10,100",NA,NA,68.55694444,NA,NA,"T52"
"43","T52.4","T52","Drought",11.1,"12,500",NA,NA,68.58583333,NA,NA,"T52"
"44","TXNM0821.2","TXNM0821","Drought",11.1,"11,600",NA,NA,95.31805556,NA,NA,"TXNM0821"
"45","TXNM0821.9","TXNM0821","Control",11.1,"10,000",NA,NA,105.0425,NA,NA,"TXNM0821"
"46","Vru42.2","Vru42","Drought",11.1,"12,300",NA,NA,36.4,NA,NA,"Vru42"
"47","9018.1","9018","Drought",11.11,"9,500",NA,NA,17.58388889,NA,NA,"9018"
"48","9018.9","9018","Control",11.11,"9,000",NA,NA,24.24166667,NA,NA,"9018"
"49","b40-14.5","b40-14","Drought",11.11,"7,500",NA,NA,16.37777778,NA,NA,"b40-14"
"50","b40-14.7","b40-14","Control",11.11,"8,500",NA,NA,15.66444444,NA,NA,"b40-14"
"51","b42-34.4","b42-34","Drought",11.11,"12,000",NA,NA,19.22166667,NA,NA,"b42-34"
"52","b42-34.7","b42-34","Control",11.11,"11,500",NA,NA,12.79416667,NA,NA,"b42-34"
"53","NY1.10","NY1","Control",11.11,"11,500",NA,NA,34.20027778,NA,NA,"NY1"
"54","NY1.4","NY1","Drought",11.11,"10,000",NA,NA,23.61555556,NA,NA,"NY1"
"55","T48.10","T48","Control",11.11,"9,000",NA,NA,17.81722222,NA,NA,"T48"
"56","T48.3","T48","Drought",11.11,"10,500",NA,NA,25.03805556,NA,NA,"T48"
"57","T52.5","T52","Drought",11.11,"10,000",NA,NA,21.085,NA,NA,"T52"
"58","T52.8","T52","Control",11.11,"8,100",NA,NA,19.79138889,NA,NA,"T52"
"59","TXNM0821.1","TXNM0821","Drought",11.11,"9,000",NA,NA,27.77111111,NA,NA,"TXNM0821"
"60","TXNM0821.5","TXNM0821","Control",11.11,"6,500",NA,NA,34.87861111,NA,NA,"TXNM0821"
"61","TXNM0821.8","TXNM0821","Drought",11.11,"9,500",NA,NA,30.64,NA,NA,"TXNM0821"
"62","V60-96.4","V60-96","Drought",11.11,"6,500",NA,NA,18.6925,NA,NA,"V60-96"
"63","Vru42.3","Vru42","Drought",11.11,"10,000",NA,NA,12.06083333,NA,NA,"Vru42"
"64","Vru42.9","Vru42","Control",11.11,"10,000",NA,NA,9.5225,NA,NA,"Vru42"
"65","9018.7","9018","Control",11.11,"7,000",NA,NA,16.52138889,NA,NA,"9018"
"66","b40-14.4","b40-14","Drought",11.11,"12,300",NA,NA,9.885833333,NA,NA,"b40-14"
"67","b40-14.8","b40-14","Control",11.11,"9,700",NA,NA,15.24833333,NA,NA,"b40-14"
"68","b42-34.3","b42-34","Drought",11.11,"13,600",NA,NA,13.9925,NA,NA,"b42-34"
"69","b42-34.8","b42-34","Control",11.11,"7,600",NA,NA,9.992222222,NA,NA,"b42-34"
"70","NY1.3","NY1","Drought",11.11,"10,300",NA,NA,15.98055556,NA,NA,"NY1"
"71","NY1.7","NY1","Control",11.11,"7,700",NA,NA,19.95138889,NA,NA,"NY1"
"72","T48.5","T48","Drought",11.11,"8,300",NA,NA,13.98555556,NA,NA,"T48"
"73","T48.9","T48","Control",11.11,"8,200",NA,NA,18.1175,NA,NA,"T48"
"74","T52.2","T52","Drought",11.11,"8,200",NA,NA,15.30666667,NA,NA,"T52"
"75","T52.9","T52","Control",11.11,"8,500",NA,NA,18.81388889,NA,NA,"T52"
"76","TXNM0821.6","TXNM0821","Control",11.11,"6,500",NA,NA,21.45138889,NA,NA,"TXNM0821"
"77","V60-96.5","V60-96","Drought",11.11,"8,300",NA,NA,12.56416667,NA,NA,"V60-96"
"78","Vru42.4","Vru42","Drought",11.11,"8,400",NA,NA,13.41916667,NA,NA,"Vru42"
"79","Vru42.7","Vru42","Control",11.11,"8,500",NA,NA,14.14166667,NA,NA,"Vru42"
"80","9018.5","9018","Drought",11.16,"11,700",NA,NA,25.71104167,NA,NA,"9018"
"81","9018.6","9018","Control",11.16,"10,900",NA,NA,58.88131944,NA,NA,"9018"
"82","b40-14.1","b40-14","Drought",11.16,"10,300",NA,NA,31.51347222,NA,NA,"b40-14"
"83","b42-34.2","b42-34","Drought",11.16,"12,700",NA,NA,28.66465278,NA,NA,"b42-34"
"84","b42-34.6","b42-34","Control",11.16,"14,000",NA,NA,37.10791667,NA,NA,"b42-34"
"85","NY1.1","NY1","Drought",11.16,"12,900",NA,NA,49.27194444,NA,NA,"NY1"
"86","NY1.6","NY1","Control",11.16,"12,300",NA,NA,43.54118056,NA,NA,"NY1"
"87","T48.4","T48","Drought",11.16,"9,400",NA,NA,73.28659722,NA,NA,"T48"
"88","T48.7","T48","Control",11.16,"12,000",NA,NA,51.755,NA,NA,"T48"
"89","T52.3","T52","Drought",11.16,"12,300",NA,NA,35.34625,NA,NA,"T52"
"90","T52.7","T52","Control",11.16,"10,200",NA,NA,51.18833333,NA,NA,"T52"
"91","TXNM0821.4","TXNM0821","Drought",11.16,"9,000",NA,NA,69.32284722,NA,NA,"TXNM0821"
"92","V60-96.3","V60-96","Drought",11.16,"11,000",NA,NA,71.74368056,NA,NA,"V60-96"
"93","Vru42.1","Vru42","Drought",11.16,"11,800",NA,NA,32.60020833,NA,NA,"Vru42"
"94","Vru42.10","Vru42","Control",11.16,"13,600",NA,NA,32.46743056,NA,NA,"Vru42"
"95","9018.3","9018","Drought",11.16,"9,500",NA,NA,59.73166667,NA,NA,"9018"
"96","9018.8","9018","Control",11.16,"10,000",NA,NA,55.40881944,NA,NA,"9018"
"97","b40-14.2","b40-14","Drought",11.16,"13,300",NA,NA,52.355,NA,NA,"b40-14"
"98","b40-14.6","b40-14","Control",11.16,"12,500",NA,NA,42.77875,NA,NA,"b40-14"
"99","b42-34.1","b42-34","Drought",11.16,"13,200",NA,NA,48.89791667,NA,NA,"b42-34"
"100","b42-34.9","b42-34","Control",11.16,"11,400",NA,NA,49.47229167,NA,NA,"b42-34"
"101","NY1.5","NY1","Drought",11.16,"11,000",NA,NA,46.86118056,NA,NA,"NY1"
"102","NY1.9","NY1","Control",11.16,"13,000",NA,NA,57.08729167,NA,NA,"NY1"
"103","T48.2","T48","Drought",11.16,"8,300",NA,NA,63.34069444,NA,NA,"T48"
"104","T48.6","T48","Control",11.16,"11,100",NA,NA,96.29986111,NA,NA,"T48"
"105","T52.1","T52","Drought",11.16,"8,400",NA,NA,59.85166667,NA,NA,"T52"
"106","T52.6","T52","Control",11.16,"12,600",NA,NA,42.52909722,NA,NA,"T52"
"107","TXNM0821.3","TXNM0821","Drought",11.16,"10,000",NA,NA,50.38444444,NA,NA,"TXNM0821"
"108","TXNM0821.7","TXNM0821","Control",11.16,"8,200",NA,NA,61.72638889,NA,NA,"TXNM0821"
"109","V60-96.7","V60-96","Control",11.16,"9,000",NA,NA,19.70048611,NA,NA,"V60-96"
"110","Vru42.5","Vru42","Drought",11.16,"11,000",NA,NA,33.80770833,NA,NA,"Vru42"
"111","9018.10","9018","Control",11.16,"10,300",NA,NA,61.45875,NA,NA,"9018"
"112","9018.4","9018","Drought",11.16,"7,400",NA,NA,45.71479167,NA,NA,"9018"
"113","b40-14.3","b40-14","Drought",11.16,"11,000",NA,NA,46.81013889,NA,NA,"b40-14"
"114","b40-14.9","b40-14","Control",11.16,"13,300",NA,NA,39.57618056,NA,NA,"b40-14"
"115","b42-34.10","b42-34","Control",11.16,"11,100",NA,NA,30.40395833,NA,NA,"b42-34"
"116","TXNM0821.2","TXNM0821","Drought",11.16,"8,200",NA,NA,81.04034722,NA,NA,"TXNM0821"
"117","Vru42.8","Vru42","Control",11.16,"11,900",NA,NA,31.48409722,NA,NA,"Vru42"
"118","NY1.2","NY1","Drought",11.17,"8,900",NA,NA,54.65625,NA,NA,"NY1"
"119","NY1.8","NY1","Control",11.17,"14,900",NA,NA,61.22534722,NA,NA,"NY1"
"120","T48.1","T48","Drought",11.17,"11,300",NA,NA,55.48416667,NA,NA,"T48"
"121","T52.10","T52","Control",11.17,"9,200",NA,NA,94.51618056,NA,NA,"T52"
"122","T52.4","T52","Drought",11.17,"12,400",NA,NA,59.49354167,NA,NA,"T52"
"123","TXNM0821.9","TXNM0821","Control",11.17,"8,400",NA,NA,96.01854167,NA,NA,"TXNM0821"
"124","V60-96.6","V60-96","Control",11.17,"10,600",NA,NA,35.56048611,NA,NA,"V60-96"
"125","Vru42.2","Vru42","Drought",11.17,"12,100",NA,NA,35.329375,NA,NA,"Vru42"
"126","9018.1","9018","Drought",11.17,"8,200",NA,NA,89.04451389,NA,NA,"9018"
"127","9018.9","9018","Control",11.17,"7,600",NA,NA,85.06381944,NA,NA,"9018"
"128","b40-14.5","b40-14","Drought",11.17,"12,500",NA,NA,36.24138889,NA,NA,"b40-14"
"129","b40-14.7","b40-14","Control",11.17,"12,400",NA,NA,47.84597222,NA,NA,"b40-14"
"130","b42-34.4","b42-34","Drought",11.17,"13,400",NA,NA,50.11354167,NA,NA,"b42-34"
"131","b42-34.7","b42-34","Control",11.17,"9,600",NA,NA,36.73291667,NA,NA,"b42-34"
"132","NY1.10","NY1","Control",11.17,"14,100",NA,NA,89.38645833,NA,NA,"NY1"
"133","NY1.4","NY1","Drought",11.17,"10,200",NA,NA,72.65048611,NA,NA,"NY1"
"134","T48.10","T48","Control",11.17,"9,300",NA,NA,70.84069444,NA,NA,"T48"
"135","T48.3","T48","Drought",11.17,"10,500",NA,NA,57.28333333,NA,NA,"T48"
"136","T52.5","T52","Drought",11.17,"11,900",NA,NA,51.235,NA,NA,"T52"
"137","T52.8","T52","Control",11.17,"8,300",NA,NA,80.23027778,NA,NA,"T52"
"138","TXNM0821.1","TXNM0821","Drought",11.17,"7,900",NA,NA,68.95027778,NA,NA,"TXNM0821"
"139","TXNM0821.5","TXNM0821","Control",11.17,"9,000",NA,NA,102.4066667,NA,NA,"TXNM0821"
"140","TXNM0821.8","TXNM0821","Drought",11.17,"7,500",NA,NA,88.27076389,NA,NA,"TXNM0821"
"141","V60-96.4","V60-96","Drought",11.17,"8,800",NA,NA,66.256875,NA,NA,"V60-96"
"142","V60-96.9","V60-96","Control",11.17,"8,800",NA,NA,47.30597222,NA,NA,"V60-96"
"143","Vru42.3","Vru42","Drought",11.17,"11,200",NA,NA,35.07833333,NA,NA,"Vru42"
"144","Vru42.9","Vru42","Control",11.17,"8,900",NA,NA,31.069375,NA,NA,"Vru42"
"145","9018.2","9018","Drought",11.17,"10,000",NA,NA,33.25548611,NA,NA,"9018"
"146","9018.7","9018","Control",11.17,"8,900",NA,NA,39.05368056,NA,NA,"9018"
"147","b40-14.8","b40-14","Control",11.17,"12,200",NA,NA,32.72486111,NA,NA,"b40-14"
"148","b42-34.8","b42-34","Control",11.17,"8,800",NA,NA,29.94590278,NA,NA,"b42-34"
"149","NY1.3","NY1","Drought",11.17,"13,400",NA,NA,44.70722222,NA,NA,"NY1"
"150","NY1.7","NY1","Control",11.17,"10,100",NA,NA,61.60902778,NA,NA,"NY1"
"151","T48.5","T48","Drought",11.17,"9,600",NA,NA,54.91895833,NA,NA,"T48"
"152","T48.9","T48","Control",11.17,"10,300",NA,NA,57.28777778,NA,NA,"T48"
"153","T52.2","T52","Drought",11.17,"9,700",NA,NA,38.89194444,NA,NA,"T52"
"154","T52.9","T52","Control",11.17,"12,100",NA,NA,44.748125,NA,NA,"T52"
"155","TXNM0821.6","TXNM0821","Control",11.17,"8,900",NA,NA,55.42680556,NA,NA,"TXNM0821"
"156","Vru42.7","Vru42","Control",11.17,"10,400",NA,NA,NA,NA,NA,"Vru42"
"157","9018.5","9018","Drought",12.1,"11,100",NA,"8,30",25.72770833,NA,NA,"9018"
"158","9018.6","9018","Control",12.1,"13,800",NA,"9,00",90.75826389,NA,NA,"9018"
"159","b40-14.1","b40-14","Drought",12.1,"12,000",NA,"8,50",22.68951389,NA,NA,"b40-14"
"160","b40-14.10","b40-14","Control",12.1,"10,600",NA,"8,30",19.46965278,NA,NA,"b40-14"
"161","b42-34.2","b42-34","Drought",12.1,"14,900",NA,"11,00",36.16215278,NA,NA,"b42-34"
"162","b42-34.6","b42-34","Control",12.1,"14,900",NA,"11,50",46.99569444,NA,NA,"b42-34"
"163","T48.4","T48","Drought",12.1,"10,500",NA,"8,50",54.57826389,NA,NA,"T48"
"164","T48.7","T48","Control",12.1,"9,700",NA,"8,50",67.65590278,NA,NA,"T48"
"165","T52.3","T52","Drought",12.1,"13,500",NA,"10,10",46.91826389,NA,NA,"T52"
"166","T52.7","T52","Control",12.1,"10,700",NA,"8,00",59.80159722,NA,NA,"T52"
"167","TXNM0821.10","TXNM0821","Control",12.1,"12,300",NA,"6,70",108.2430556,NA,NA,"TXNM0821"
"168","TXNM0821.4","TXNM0821","Drought",12.1,"9,700",NA,"5,40",88.56618056,NA,NA,"TXNM0821"
"169","V60-96.3","V60-96","Drought",12.1,"10,700",NA,"8,90",28.48513889,NA,NA,"V60-96"
"170","V60-96.8","V60-96","Control",12.1,"13,100",NA,"10,00",82.92013889,NA,NA,"V60-96"
"171","9018.3","9018","Drought",12.1,"10,500",NA,"7,20",52.70770833,NA,NA,"9018"
"172","b40-14.6","b40-14","Control",12.1,"11,500",NA,"7,30",25.11229167,NA,NA,"b40-14"
"173","b42-34.1","b42-34","Drought",12.1,"14,500",NA,"10,00",44.31763889,NA,NA,"b42-34"
"174","b42-34.9","b42-34","Control",12.1,"11,000",NA,"8,40",45.14291667,NA,NA,"b42-34"
"175","NY1.5","NY1","Drought",12.1,"13,500",NA,"6,80",44.74347222,NA,NA,"NY1"
"176","T48.2","T48","Drought",12.1,"14,500",NA,"7,30",43.514375,NA,NA,"T48"
"177","T48.6","T48","Control",12.1,"13,500",NA,"8,60",99.19736111,NA,NA,"T48"
"178","T52.1","T52","Drought",12.1,"12,000",NA,"6,40",70.29430556,NA,NA,"T52"
"179","T52.6","T52","Control",12.1,"13,500",NA,"6,80",71.40847222,NA,NA,"T52"
"180","TXNM0821.3","TXNM0821","Drought",12.1,"13,000",NA,"6,40",60.51208333,NA,NA,"TXNM0821"
"181","TXNM0821.7","TXNM0821","Control",12.1,"11,000",NA,"7,10",128.230625,NA,NA,"TXNM0821"
"182","V60-96.1","V60-96","Drought",12.1,"11,500",NA,NA,49.64895833,NA,NA,"V60-96"
"183","V60-96.7","V60-96","Control",12.1,"10,500",NA,"7,50",78.66208333,NA,NA,"V60-96"
"184","Vru42.5","Vru42","Drought",12.1,"12,000",NA,"8,40",40.19444444,NA,NA,"Vru42"
"185","Vru42.6","Vru42","Control",12.1,"14,500",NA,"8,00",39.23298611,NA,NA,"Vru42"
"186","9018.10","9018","Control",12.1,"11,400",NA,"7,80",49.22215278,NA,NA,"9018"
"187","9018.4","9018","Drought",12.1,"9,500",NA,"7,80",43.63069444,NA,NA,"9018"
"188","b40-14.3","b40-14","Drought",12.1,"13,700",NA,"9,00",NA,NA,NA,"b40-14"
"189","b40-14.9","b40-14","Control",12.1,"11,100",NA,"8,80",NA,NA,NA,"b40-14"
"190","b42-34.10","b42-34","Control",12.1,"13,100",NA,"10,00",24.91930556,NA,NA,"b42-34"
"191","TXNM0821.2","TXNM0821","Drought",12.1,"11,500",NA,NA,98.75326389,NA,NA,"TXNM0821"
"192","Vru42.8","Vru42","Control",12.1,"14,500",NA,"8,50",NA,NA,NA,"Vru42"
"193","NY1.2","NY1","Drought",12.2,"12,900",NA,"6,20",60.62541667,NA,NA,"NY1"
"194","NY1.8","NY1","Control",12.2,"9,800",NA,"8,40",95.56534722,NA,NA,"NY1"
"195","T48.1","T48","Drought",12.2,"14,100",NA,"7,10",54.37354167,NA,NA,"T48"
"196","T48.8","T48","Control",12.2,"9,200",NA,"4,50",76.46076389,NA,NA,"T48"
"197","T52.10","T52","Control",12.2,"10,700",NA,NA,73.09506944,NA,NA,"T52"
"198","T52.4","T52","Drought",12.2,"12,100",NA,"9,90",67.18520833,NA,NA,"T52"
"199","TXNM0821.9","TXNM0821","Control",12.2,"10,500",NA,"5,30",73.36569444,NA,NA,"TXNM0821"
"200","V60-96.6","V60-96","Control",12.2,"10,200",NA,"7,40",74.99493056,NA,NA,"V60-96"
"201","9018.1","9018","Drought",12.2,"12,700",NA,"7,90",45.90486111,NA,NA,"9018"
"202","9018.9","9018","Control",12.2,"14,400",NA,NA,40.71638889,NA,NA,"9018"
"203","b40-14.7","b40-14","Control",12.2,"12,200",NA,"6,00",23.79444444,NA,NA,"b40-14"
"204","b42-34.7","b42-34","Control",12.2,"11,700",NA,"7,90",34.86604167,NA,NA,"b42-34"
"205","NY1.10","NY1","Control",12.2,"14,500",NA,"6,00",47.27972222,NA,NA,"NY1"
"206","T48.10","T48","Control",12.2,"14,500",NA,"5,90",87.20597222,NA,NA,"T48"
"207","T48.3","T48","Drought",12.2,"11,700",NA,"9,60",59.034375,NA,NA,"T48"
"208","T52.8","T52","Control",12.2,"13,200",NA,"7,40",87.07569444,NA,NA,"T52"
"209","TXNM0821.1","TXNM0821","Drought",12.2,"11,500",NA,"7,50",80.65229167,NA,NA,"TXNM0821"
"210","TXNM0821.5","TXNM0821","Control",12.2,"11,600",NA,"4,90",NA,NA,NA,"TXNM0821"
"211","TXNM0821.8","TXNM0821","Drought",12.2,"13,500",NA,"6,50",54.26430556,NA,NA,"TXNM0821"
"212","V60-96.4","V60-96","Drought",12.2,"14,900",NA,"8,10",47.006875,NA,NA,"V60-96"
"213","V60-96.9","V60-96","Control",12.2,"13,200",NA,"6,20",NA,NA,NA,"V60-96"
"214","Vru42.9","Vru42","Control",12.2,"11,700",NA,"7,50",37.37083333,NA,NA,"Vru42"
"215","9018.2","9018","Drought",12.2,"11,500",NA,"10,20",34.48409722,NA,NA,"9018"
"216","9018.7","9018","Control",12.2,"10,500",NA,"8,10",76.67409722,NA,NA,"9018"
