Genotype,Species,Sampling Source,Lat,Long,Lat,Long,collection notes,SPEI-6 month ave-30y,winter SPEI-30y,spring SPEI-30y,summer SPEI-30y,fall SPEI-30y,SPEI-6 month ave-15y,winter SPEI-15y,spring SPEI-15y,summer SPEI-15y,fall SPEI-15y,SPEI-6 month ave-10y,winter SPEI-10y,spring SPEI-10y,summer SPEI-10y,fall SPEI-10y,SPEI-6 month ave-5y,winter SPEI-5y,spring SPEI-5y,summer SPEI-5y,fall SPEI-5y,bio1,bio4,bio5,bio6,bio8,bio9,bio10,bio11,bio12,bio15
9018,acerifolia,Tyree,34.0083,-100.282,34.0083,-100.282,"Texas, middle fork of Pease River",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCK1-S02,acerifolia,Tyree,35.393,-97.6002,35.393,-97.6002,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T52,aestivalis,Tyree,30.6327,-97.6772,30.6327,-97.6772,"Mankins Crossing, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANU65,arizonica,Tyree,35.1052,-113.894,35.1052,-113.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b40-14,arizonica,Tyree,27.4525,-107.712,27.4525,-107.712,"Chihuahua, Mexico, just west of Copper Canyon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9035,acerifiolia,Tyree,34.037428,-100.312939,34.037428,-100.312939,"S fork of Pease River, Paducah, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9031,berlandieri,Tyree,31.084332,-97.614006,31.084332,-97.614006,"East of Nolanville, TX, 190 outside rest stop near police station",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214.4,bloodworthiana,Wolfskill,23.62,-99.23,23.62,-99.23,"Veracruz,Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12,californica,Tyree,37.53111,-120.467,37.53111,-120.467,Side of Snelling Road North of Merced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b42-34,cinerea,Tyree,25.1085528,-99.8062,25.1085528,-99.8062,"40 k west of Linares, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9025,cinerea,Tyree,33.759989,-97.595071,33.759989,-97.595071,"Bonita, Montague Co., TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC2,girdiana,Tyree,36.3271,-116.302,36.3271,-116.302,S. California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT12-075,girdiana,Tyree,37.31033333,-113.4355278,,,Road to Oak Grove Campground outside St. George UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX6704,monticola,Tyree,31.4352,-97.7493,31.4352,-97.7493,"Gatesville, TX seed collection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T48,mustangensis,Tyree,30.7592,-98.7003,30.7592,-98.7003,"W. Lano, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588155.01,palmata,"Geneva, NY",38.066077,-88.582454,38.066077,-88.582454,"Hamilton County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b42-24,peninsularis,Tyree,25.1085528,-99.8062,25.1085528,-99.8062,"40 k west of Linares, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2970,popenoi,Wolfskill,20.755556,-98.775278,20.755556,-98.775278,"Mexico, Comeaux collection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY1,riparia,,43.841723,-73.387025,"43.841723,",-73.387025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXNM0821,riparia,Tyree,35.6689,-105.3361,35.6689,-105.3361,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255189.01,riparia,,42.406536,-77.222385,42.406536,-77.222385,"Hammondsport, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C56-94,rotundifolia var. munsoniana,Tyree,28.435277,-81.299991,28.435277,-81.299991,"Orlando Int Airport, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vru42,rupestris,Tyree,37.76774,-90.3835,37.76774,-90.3835,"Wolf Creek, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haines,shuttleworthii,Wolfskill,28.128088,-81.612944,28.128088,-81.612944,"Haines City, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haines2,shuttleworthii,,28.128088,-81.612944,28.128088,-81.612944,"Haines City, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,treleasei,Wolfskill,33.343333,-105.3361,33.343333,-105.3361,"unknown, this is for another treleasei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V60-96,vulpina,Tyree,40.380579,-75.032293,,,Buckshill Rd. VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V57-96,vulpina,Tyree,39.078546,-78.025139,39.078546,-78.025139,"Shenandoah R, Boyce, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,