Genotype,Species,Sampling Source,Lat,Long
9018,acerifolia,Tyree,34.0083,-100.282
OCK1-S02,acerifolia,Tyree,,
T52,aestivalis,Tyree,30.6327,-97.6772
ANU65,arizonica,Tyree,35.1052,-113.894
b40-14,arizonica,Tyree,27.4525,-107.712
9035,berlandieri,Tyree,,
9031,berlandieri,Tyree,,
2214.4,bloodworthiana,Wolfskill,,
CC12,californica,Tyree,37.53111,-120.467
b42-34,cinerea,Tyree,25.1085528,-99.8062
9025,cinerea,Tyree,33.759989,-97.595071
SC2,girdiana,Tyree,36.3271,-116.302
UT12-075,girdiana,Tyree,,
TX6704,monticola,Tyree,31.4352,-97.7493
T48,mustangensis,Tyree,30.7592,-98.7003
588155.01,palmata,"Geneva, NY",38.066077,-88.582454
b42-34,peninsularis,Tyree,,
2970,popenoi,Wolfskill,20.755556,-98.775278
NY1,riparia,,,
TXNM0821,riparia,Tyree,35.6689,-105.3361
255189.01,riparia,,,
C56-94,rotundifolia var. munsoniana,Tyree,28.435277,-81.299991
Vru42,rupestris,Tyree,37.76774,-90.3835
Haines,shuttleworthii,Wolfskill,,
Haines2,shuttleworthii,,,
1149,treleasei,Wolfskill,33.343333,-105.3361
V60-96,vulpina,Tyree,,
V57-96,vulpina,Tyree,39.078546,-78.025139