"Species","species_geno","Genotype","Treatment","Porosity","SpongyV_TotalMesophyllV","PalisadeV_TotalMesophyllV","SpongyV_PalisadeV","Leaf_Width_um","Mesophyll_Width_um","mean_Porosity","sem_Porosity","mean_SpongyV_TotalMesophyllV","sem_SpongyV_TotalMesophyllV","mean_PalisadeV_TotalMesophyllV","sem_PalisadeV_TotalMesophyllV","mean_SpongyV_PalisadeV","sem_SpongyV_PalisadeV","mean_Leaf_Width_um","sem_Leaf_Width_um","mean_Mesophyll_Width_um","sem_Mesophyll_Width_um","p_value_Porosity","p_value_SpongyV_TotalMesophyllV","p_value_PalisadeV_TotalMesophyllV","p_value_SpongyV_PalisadeV","p_value_Leaf_Width_um","p_value_Mesophyll_Width_um"
"acerifolia","acerifolia_9018","9018","Control",0.4250145889,0.3426098198,0.2323755913,1.47437955,216.1642167,180.3670858,0.40789494985,0.0083629440942979,0.341993987525,0.00790300303972646,0.250111062625,0.00822259444041968,1.37314153425,0.0649490818159573,218.10019165,5.62833241529109,180.110592675,4.8980070478829,0.330910323573817,0.00230113723557816,0.0011997619716921,0.000833250098783576,0.345971549365094,0.475808744970261
"acerifolia","acerifolia_9018","9018","Control",0.3952153623,0.3333472407,0.271437397,1.228081482,203.6846528,166.7821774,0.40789494985,0.0083629440942979,0.341993987525,0.00790300303972646,0.250111062625,0.00822259444041968,1.37314153425,0.0649490818159573,218.10019165,5.62833241529109,180.110592675,4.8980070478829,0.330910323573817,0.00230113723557816,0.0011997619716921,0.000833250098783576,0.345971549365094,0.475808744970261
"acerifolia","acerifolia_9018","9018","Control",0.3919717311,0.3639272601,0.2441010088,1.490887981,230.4530138,190.1633463,0.40789494985,0.0083629440942979,0.341993987525,0.00790300303972646,0.250111062625,0.00822259444041968,1.37314153425,0.0649490818159573,218.10019165,5.62833241529109,180.110592675,4.8980070478829,0.330910323573817,0.00230113723557816,0.0011997619716921,0.000833250098783576,0.345971549365094,0.475808744970261
"acerifolia","acerifolia_9018","9018","Control",0.4193781171,0.3280916295,0.2525302534,1.299217124,222.0988833,183.1297612,0.40789494985,0.0083629440942979,0.341993987525,0.00790300303972646,0.250111062625,0.00822259444041968,1.37314153425,0.0649490818159573,218.10019165,5.62833241529109,180.110592675,4.8980070478829,0.330910323573817,0.00230113723557816,0.0011997619716921,0.000833250098783576,0.345971549365094,0.475808744970261
"acerifolia","acerifolia_9018","9018","Drought",0.4253914595,0.2665543987,0.3080541419,0.8652842551,218.005381,178.5568217,0.419986973175,0.00778767032496044,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,224.9891308,3.49591796096438,184.532448725,2.98295738764722,0.330910323573817,0.00230113723557816,0.0011997619716921,0.000833250098783576,0.345971549365094,0.475808744970261
"acerifolia","acerifolia_9018","9018","Drought",0.4394352255,0.2320988858,0.3284658887,0.706614884,220.2150177,181.1612315,0.419986973175,0.00778767032496044,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,224.9891308,3.49591796096438,184.532448725,2.98295738764722,0.330910323573817,0.00230113723557816,0.0011997619716921,0.000833250098783576,0.345971549365094,0.475808744970261
"acerifolia","acerifolia_9018","9018","Drought",0.4051625412,0.2859630691,0.3088743897,0.9258231779,229.140532,186.3755489,0.419986973175,0.00778767032496044,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,224.9891308,3.49591796096438,184.532448725,2.98295738764722,0.330910323573817,0.00230113723557816,0.0011997619716921,0.000833250098783576,0.345971549365094,0.475808744970261
"acerifolia","acerifolia_9018","9018","Drought",0.4099586665,0.2748173423,0.3152239912,0.8718160733,232.5955925,192.0361928,0.419986973175,0.00778767032496044,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,224.9891308,3.49591796096438,184.532448725,2.98295738764722,0.330910323573817,0.00230113723557816,0.0011997619716921,0.000833250098783576,0.345971549365094,0.475808744970261
"aestivalis","aestivalis_T52","T52","Control",0.2338088142,0.4169017211,0.3492894647,1.193570844,149.3627436,116.1222481,0.2313690321,0.00388404715269539,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,152.765527175,2.48492599156162,119.3964541,2.20970451735684,0.836957874826339,0.0075997909190419,0.0444505514616158,0.0258742097045651,0.789921143600078,0.774328597653606
"aestivalis","aestivalis_T52","T52","Control",0.2405167012,0.4114186186,0.3480646803,1.182017717,150.3570192,117.8451455,0.2313690321,0.00388404715269539,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,152.765527175,2.48492599156162,119.3964541,2.20970451735684,0.836957874826339,0.0075997909190419,0.0444505514616158,0.0258742097045651,0.789921143600078,0.774328597653606
"aestivalis","aestivalis_T52","T52","Control",0.2290583345,0.3823447515,0.388596914,0.9839109311,160.1339571,125.9216164,0.2313690321,0.00388404715269539,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,152.765527175,2.48492599156162,119.3964541,2.20970451735684,0.836957874826339,0.0075997909190419,0.0444505514616158,0.0258742097045651,0.789921143600078,0.774328597653606
"aestivalis","aestivalis_T52","T52","Control",0.2220922785,0.3974157463,0.3804919751,1.044478655,151.2083888,117.6968064,0.2313690321,0.00388404715269539,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,152.765527175,2.48492599156162,119.3964541,2.20970451735684,0.836957874826339,0.0075997909190419,0.0444505514616158,0.0258742097045651,0.789921143600078,0.774328597653606
"aestivalis","aestivalis_T52","T52","Drought",0.2411480958,0.355450208,0.4034016961,0.8811321604,154.4771896,122.1244575,0.234507822475,0.0136181909786051,0.3628366581,0.00521457145896868,0.4026555194,0.00956528223289837,0.901999879125,0.0159796542308057,154.85163945,6.85921361941883,121.40311195,6.12813733281563,0.836957874826339,0.0075997909190419,0.0444505514616158,0.0258742097045651,0.789921143600078,0.774328597653606
"aestivalis","aestivalis_T52","T52","Drought",0.2592503219,0.3529347581,0.38781492,0.910059773,164.2271307,131.0150103,0.234507822475,0.0136181909786051,0.3628366581,0.00521457145896868,0.4026555194,0.00956528223289837,0.901999879125,0.0159796542308057,154.85163945,6.85921361941883,121.40311195,6.12813733281563,0.836957874826339,0.0075997909190419,0.0444505514616158,0.0258742097045651,0.789921143600078,0.774328597653606
"aestivalis","aestivalis_T52","T52","Drought",0.1956136584,0.3749629498,0.4294233918,0.873177747,165.1165567,128.5724519,0.234507822475,0.0136181909786051,0.3628366581,0.00521457145896868,0.4026555194,0.00956528223289837,0.901999879125,0.0159796542308057,154.85163945,6.85921361941883,121.40311195,6.12813733281563,0.836957874826339,0.0075997909190419,0.0444505514616158,0.0258742097045651,0.789921143600078,0.774328597653606
"aestivalis","aestivalis_T52","T52","Drought",0.2420192138,0.3679987165,0.3899820697,0.9436298361,135.5856808,103.9005281,0.234507822475,0.0136181909786051,0.3628366581,0.00521457145896868,0.4026555194,0.00956528223289837,0.901999879125,0.0159796542308057,154.85163945,6.85921361941883,121.40311195,6.12813733281563,0.836957874826339,0.0075997909190419,0.0444505514616158,0.0258742097045651,0.789921143600078,0.774328597653606
"arizonica","arizonica_b40-14","b40-14","Control",0.2843022842,0.3305181223,0.3851795935,0.8580883512,160.6608916,129.7191319,0.299135165066667,0.00743471790860566,0.3397622516,0.00803402778774995,0.361102583333333,0.0134733757144169,0.945004918266667,0.0564059908834485,154.4511991,3.58771145682283,122.638422,3.86573831178367,0.364395258079273,0.246380091559459,0.926679270626362,0.522341232032531,0.0105948288370136,0.0307652950069526
"arizonica","arizonica_b40-14","b40-14","Control",0.3074540051,0.3330024727,0.3595435222,0.9261812606,148.2327039,116.4093018,0.299135165066667,0.00743471790860566,0.3397622516,0.00803402778774995,0.361102583333333,0.0134733757144169,0.945004918266667,0.0564059908834485,154.4511991,3.58771145682283,122.638422,3.86573831178367,0.364395258079273,0.246380091559459,0.926679270626362,0.522341232032531,0.0105948288370136,0.0307652950069526
"arizonica","arizonica_b40-14","b40-14","Control",0.3056492059,0.3557661598,0.3385846343,1.050745143,154.4600018,121.7868323,0.299135165066667,0.00743471790860566,0.3397622516,0.00803402778774995,0.361102583333333,0.0134733757144169,0.945004918266667,0.0564059908834485,154.4511991,3.58771145682283,122.638422,3.86573831178367,0.364395258079273,0.246380091559459,0.926679270626362,0.522341232032531,0.0105948288370136,0.0307652950069526
"arizonica","arizonica_b40-14","b40-14","Drought",0.2769806596,0.3409557295,0.3820636109,0.8924056616,128.8909643,102.4179029,0.3146320106,0.0134447362145308,0.322439677,0.0104639798384483,0.3629283124,0.0131405001037135,0.8930628392,0.0492904265704259,134.302490575,2.74418807813254,106.79169895,2.54894699371611,0.364395258079273,0.246380091559459,0.926679270626362,0.522341232032531,0.0105948288370136,0.0307652950069526
"arizonica","arizonica_b40-14","b40-14","Drought",0.3230147806,0.3331470015,0.3438382179,0.9689062594,141.4756546,112.8630956,0.3146320106,0.0134447362145308,0.322439677,0.0104639798384483,0.3629283124,0.0131405001037135,0.8930628392,0.0492904265704259,134.302490575,2.74418807813254,106.79169895,2.54894699371611,0.364395258079273,0.246380091559459,0.926679270626362,0.522341232032531,0.0105948288370136,0.0307652950069526
"arizonica","arizonica_b40-14","b40-14","Drought",0.340511549,0.3224813944,0.3370070566,0.9568980473,131.4121648,102.7387844,0.3146320106,0.0134447362145308,0.322439677,0.0104639798384483,0.3629283124,0.0131405001037135,0.8930628392,0.0492904265704259,134.302490575,2.74418807813254,106.79169895,2.54894699371611,0.364395258079273,0.246380091559459,0.926679270626362,0.522341232032531,0.0105948288370136,0.0307652950069526
"arizonica","arizonica_b40-14","b40-14","Drought",0.3180210532,0.2931745826,0.3888043642,0.7540413885,135.4311786,109.1470129,0.3146320106,0.0134447362145308,0.322439677,0.0104639798384483,0.3629283124,0.0131405001037135,0.8930628392,0.0492904265704259,134.302490575,2.74418807813254,106.79169895,2.54894699371611,0.364395258079273,0.246380091559459,0.926679270626362,0.522341232032531,0.0105948288370136,0.0307652950069526
"cinerea","cinerea_b42-34","b42-34","Control",0.3420925532,0.3966832447,0.261224202,1.518554719,164.0952572,134.3253574,0.37226682155,0.0158662499623638,0.359076179775,0.0146942223197406,0.268656998625,0.00674602423252388,1.33923814125,0.0662490754899344,175.3761956,9.12021586866619,143.345779825,9.20734345927068,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Control",0.3928110343,0.3494845166,0.2577044491,1.356144676,175.9980654,146.9568127,0.37226682155,0.0158662499623638,0.359076179775,0.0146942223197406,0.268656998625,0.00674602423252388,1.33923814125,0.0662490754899344,175.3761956,9.12021586866619,143.345779825,9.20734345927068,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Control",0.3484293231,0.3636738455,0.2878968313,1.263208921,200.876078,167.3608448,0.37226682155,0.0158662499623638,0.359076179775,0.0146942223197406,0.268656998625,0.00674602423252388,1.33923814125,0.0662490754899344,175.3761956,9.12021586866619,143.345779825,9.20734345927068,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Control",0.4057343756,0.3264631123,0.2678025121,1.219044249,160.5353818,124.7401044,0.37226682155,0.0158662499623638,0.359076179775,0.0146942223197406,0.268656998625,0.00674602423252388,1.33923814125,0.0662490754899344,175.3761956,9.12021586866619,143.345779825,9.20734345927068,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Drought",0.3099776957,0.4002913131,0.2897309912,1.381596465,167.0212604,137.6714961,0.26261222735,0.016516372849915,0.435156746775,0.0153680329107931,0.302231025875,0.00675988221973392,1.44197795525,0.0604077683890912,180.88777685,7.38240833216498,150.1926125,7.09840163359959,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Drought",0.2459387394,0.4530845268,0.3009767338,1.505380569,176.272645,144.9152443,0.26261222735,0.016516372849915,0.435156746775,0.0153680329107931,0.302231025875,0.00675988221973392,1.44197795525,0.0604077683890912,180.88777685,7.38240833216498,150.1926125,7.09840163359959,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Drought",0.2591194064,0.4196081694,0.3212724242,1.306082122,178.5175276,147.6545109,0.26261222735,0.016516372849915,0.435156746775,0.0153680329107931,0.302231025875,0.00675988221973392,1.44197795525,0.0604077683890912,180.88777685,7.38240833216498,150.1926125,7.09840163359959,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Drought",0.2354130679,0.4676429778,0.2969439543,1.574852665,201.7396744,170.5291987,0.26261222735,0.016516372849915,0.435156746775,0.0153680329107931,0.302231025875,0.00675988221973392,1.44197795525,0.0604077683890912,180.88777685,7.38240833216498,150.1926125,7.09840163359959,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"mustangensis","mustangensis_T48","T48","Control",0.3311709738,0.3018875915,0.3669414347,0.8227132808,201.2299456,160.2011058,0.37923059,0.0165875329354966,0.2716553969,0.0132265313503786,0.3491140131,0.00979296335791431,0.780077287,0.0440023996358914,203.76658695,8.29711375892433,161.922278375,6.75879341655704,0.743646473974038,0.84698565040715,0.789631221967322,0.99722427294171,0.840128640518594,0.6845250724629
"mustangensis","mustangensis_T48","T48","Control",0.3980253609,0.2805892978,0.3213853413,0.8730619036,208.0140254,166.1128719,0.37923059,0.0165875329354966,0.2716553969,0.0132265313503786,0.3491140131,0.00979296335791431,0.780077287,0.0440023996358914,203.76658695,8.29711375892433,161.922278375,6.75879341655704,0.743646473974038,0.84698565040715,0.789631221967322,0.99722427294171,0.840128640518594,0.6845250724629
"mustangensis","mustangensis_T48","T48","Control",0.404123843,0.2390627011,0.3568134559,0.6699935137,182.9091077,144.4918442,0.37923059,0.0165875329354966,0.2716553969,0.0132265313503786,0.3491140131,0.00979296335791431,0.780077287,0.0440023996358914,203.76658695,8.29711375892433,161.922278375,6.75879341655704,0.743646473974038,0.84698565040715,0.789631221967322,0.99722427294171,0.840128640518594,0.6845250724629
